B: 	ja dit zijn een ding ik vinden het net alsof er het het zijn de basisvorm met een vierkant eronder en net alsof er twee muizentrappe zo als arm zijn 
B: 	en hij hebben ook nog een rond ding aan de voorkant 
A: 	ja en zitten daar zo'n soort van zo'n ding aan 
A: 	of niet 
B: 	wat bedoelen ? ja er zitten aan de als je dat vierkant eronder hebben daar zitten ook nog aan allebei de kant twee van die half ronde ja soort fris ja ik weten ook niet wat het zijn twee half rond buisjes 
B: 	maar het zijn eigenlijk voor voornamelijk dat 
A: 	gewoon een vierkant onderplaat waar die op staat en zitten er dan drie van die van die kralen eigenlijk zeggen maar 
B: 	ja 
B: 	ja 
B: 	precies 
A: 	dus eerst drie kraal en dan drie kraal aan die kant en dan zo'n cirkel met zo'n ding aan de zijkant 
B: 	aan allebei de kant 
B: 	ja die 
B: 	ja 
B: 	ja 
B: 	die 
A: 	ja die snap ik dat zijn bij mij vijf 
A: 	of nee wachten ja dat zijn vijf ja 
A: 	dit zijn die een met die ieder keer drie kraal aan de zijkant zeggen maar met dat rond dinge als neus aan de voorkant met op dat vierkantje 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	J 
B: 	dit zijn die een met die met die allebei de kant waarvan die driehoekjesachtig vier die 
A: 	ja die dat telraamdinge die eruit komen zeggen maar met dat rond ding als neus 
B: 	ja 
B: 	ja die 
A: 	ja dat zijn bij mij elf 
A: 	dit zijn die een met die drie kraal die aan allebei de kant eruit komen met die cirkel aan de voorkant op dat vierkant 
B: 	ja 
B: 	dat zijn P 
B: 	dit zijn wel die een je hebben een vierkan en dat van die kraal 
A: 	met die drie kraal ja 
B: 	ja 
A: 	nummer negen 
A: 	degeen met die drie kraal aan allebei de kant 
B: 	ja 
A: 	en op dat vierkant plateau ja 
B: 	L 
