B: 	ik hebben er zitten zeggen maar net iets boven boven het midden zitten een een soort plateau en daarop staan een bak 
B: 	zo moeten ik het even zo moeten je het zien 
A: 	ja ja ja 
B: 	snapan je wat ik bedoelen 
A: 	en aan de achterkant zo'n nog zo'n 
B: 	achterkant zo'n zo'n zo'n dinge en aan en aan de voorkant zitten er twee staaf die 
A: 	ja 
A: 	ja ja ja precies 
B: 	ja 
A: 	dat zijn zestien 
A: 	ja dit zijn dit zijn die emmer weer met dat met dat plateau en dat bak en die twee poot eronder 
B: 	ja 
A: 	en aan de achterkant die Ronde 
B: 	ja 
B: 	dat zijn P 
B: 	dit zijn die die met dat plateau met die met die poot en dat bak 
A: 	ja ja 
A: 	even kijken waar staan die 
B: 	ik hebben bedenken dat het een tafel zijn 
A: 	daar 
A: 	ja precies dat hebben ik ook 
B: 	ja 
A: 	veertien hebben ik daar 
A: 	veertien 
A: 	ja dit zijn weer dat tafel met die met dat bak erbovenop 
B: 	ja 
B: 	dat zijn N 
B: 	dit zijn de tafel met het bak 
A: 	tafel met bakje 
A: 	tien 
A: 	ja dit zijn de tafel met dat bak 
B: 	d 
