A: 	deze hebben een lijken wel rondvormig driehoek op de op de top van de emmer 
A: 	aan de linkerkant lijken een soort ja ja een soort kogel misschien wel , tegen de emmer aan te aanzitten 
A: 	link aan de voet links aan de onderkant zijn er een cirkelvormig uitsteeksel 
B: 	ja 
A: 	en een beetje rechts van het midden , aan de voorkant , lijken er een 
B: 	misvormd kubus 
A: 	ja 
B: 	ja bovenop een driehoek 
A: 	bovenop een driehoek ja 
B: 	ja 
B: 	ja dat zijn I 
A: 	ja 
B: 	deze hebben een driehoek bovenop 
A: 	ah ja 
B: 	en ja klein cirkel linksonder 
A: 	ja 
A: 	en links ook een 
B: 	ding , spijker , kogel ja 
A: 	ja 
A: 	kogel , kijkglas , ik weten niet vreemd telescoopachtig ding 
B: 	ja kogel ja 
A: 	nummer drie 
A: 	deze zijn met een driehoek bovenop 
A: 	een heel scherp driehoek 
A: 	of ja 
B: 	en een kogel links 
A: 	en een kogel links ja 
B: 	J 
B: 	deze hebben zo'n scherp driehoek bovenop en een kogel links 
A: 	ja 
A: 	nummer twaalf 
A: 	deze hebben een ja deze hebben de puntig of de de driehoek bovenop en links die die kogel 
B: 	kogel 
B: 	A 
B: 	deze hebben de scherp driehoek bovenop en een kogel links 
A: 	ja nummer veertien 
