B: 	hij hebben een haak aan de linkerkant of ja vanuit hem zien rechterkant van zijn hoofd 
B: 	en een soort rok om zijn nek 
B: 	met een lang neus en twee klein punt aan de bovenkant 
A: 	ja 
A: 	lang neus 
A: 	en die haak zijn een soort l-vorm 
B: 	ja 
A: 	okee 
A: 	twee 
A: 	deze hebben het plateau zeggen maar dwars door zijn body en twee stekel midden op het hoofd 
B: 	ja 
B: 	ja okee 
B: 	dat zijn d 
B: 	deze hebben weer het platform door zijn lijf heen 
A: 	ja 
B: 	met de twee punt bovenop en de haak en de lang neus 
A: 	vijfteen 
A: 	deze hebben een plateau door zijn die doorsnijden 
B: 	ja 
B: 	met twee klein pun op zijn hoofd 
A: 	twee 
A: 	ja 
B: 	dat zijn p 
B: 	deze hebben het platform door zijn lijf heen met de twee punt op zijn hoofd 
A: 	ja elf 
A: 	de 
A: 	het plateau dat doorsnijden 
A: 	het zullen ook een rok kunnen zijn 
B: 	ja 
B: 	ja dat vinden ik ook 
B: 	c 
