A: 	deze hebben twee van die luciferstokjes naar de zijkant en zo'n afdak aan de achterkant 
B: 	even kijken 
B: 	volgens mij weten ik wel welk het zijn 
B: 	nee toch niet 
B: 	twee luciferstokjes naar de zijkant aan welk kant 
A: 	één naar links en één naar rechts 
B: 	oké één link één rechts 
A: 	één het een luciferstokje aan de linkerkant zijn weinig groot dan aan de rechterkant 
A: 	het zijn echt zo'n stok met zo'n kop erop 
B: 	die ja 
A: 	en dan hebben die zo'n afdak aan de achterkant 
B: 	ja en aan de achterkant zitten ook nog zo'n plat plat vlak 
B: 	met nog een poo eronder of zo 
A: 	ja die ja 
B: 	oké ja 
B: 	dat zijn bij mij K 
B: 	dit zijn wat jij die luciferstoek stok noemen 
B: 	ik ik noemen het een knuppel 
B: 	die erachter achter het kop liggen 
A: 	ja 
A: 	met dat plank aan de achterkant 
B: 	met dat plank ook erbij 
A: 	oké dat zijn nummer negen 
A: 	dit zijn die een met die luciferstok 
B: 	de luciferstok 
B: 	ja de knuppel 
B: 	ja dat zijn bij mij F 
A: 	ja 
B: 	dit zijn de knuppel of de lucifer 
B: 	die erachter liggen 
A: 	ja 
A: 	even kijken waar die staan 
A: 	ja dat zijn nummer drie 
A: 	die een met de twee lucifer 
B: 	ja dat zijn L 
B: 	de lucifer of knuppel 
A: 	ja dat zijn vijf 
