A: 	er zitten een lang staaf doorheen een beetje aan de onderkant 
A: 	die van dik naar dun gaan en aan het einde twee bollet hebben 
B: 	staaf onderkant 
A: 	en er zitten aan de achterkant nog een soort van tafel 
A: 	of niet een tafel veel gewoon een plank met een dinge eraan 
B: 	even kijken ik vinden hem niet 
A: 	er zijn een dik staaf aan de achterkant onderkant achterkant 
B: 	onderkant achterkant ja oké 
A: 	en twee aan die uiteind van die dik staaf zitten twee bollet 
B: 	ah oké ja 
B: 	en er zitten een schuin vierkant 
A: 	ja 
A: 	ja 
B: 	ja oké 
B: 	I 
B: 	een beetje achter zitten de staaf doorheen met soort met twee bollet aan het uiteinde en een vierkant achter het kop met een staart eruit 
A: 	ja 
A: 	ja 
A: 	twaalf 
A: 	er zitten een dik balk aan de onderkant doorheen met twee rond aan de zijkant en aan de achterkant dat tafel 
B: 	ja even kijken 
A: 	of zo'n plank achter 
B: 	waar zijn je 
B: 	ah en een lepeltje erachter 
A: 	nee geen lepeltje 
A: 	de aan de achterkant zitten een dat tafel met zo'n uh , of zo'n plank zeggen maar 
B: 	ja 
A: 	wat zo naar beneden gaan en aan de onderkant zitten twee van zo'n dik staf met die rond eraan 
B: 	ja ja ja die dan soort van vast kunnen houden ja 
A: 	ja 
A: 	ja 
B: 	K 
B: 	een staaf door het midden heen , twee rond aan het uiteinde en daar achter zitten een vierkantje beetje verstopt met een staart erachter 
A: 	met tafel 
A: 	ja 
A: 	negen 
A: 	zo'n dik staaf aan de achterkant onderkant met twee bollen aan de zijkant 
A: 	en dat tafel aan de achterkant met zo'n nog een dinge eraan zeggen maar 
A: 	aan dat tafel aan de achterkant 
B: 	ja en een soort vierkant dinge 
A: 	ja 
B: 	ja 
B: 	N 
B: 	vierkant naar achter soort tafelachtig ding achter met een staart eruit 
A: 	en die twee balk 
B: 	twee balk 
A: 	ja 
A: 	tien 
