B: 	ja ik hebben de één 
A: 	ja 
B: 	bovenop zitten zo'n ovaal figuur 
B: 	en link zitten een ook een staaf 
B: 	en daarachter zitten een zitten een rond maar die zien je niet helemaal volledig 
A: 	achter zitten een rond 
B: 	en hij hebben een klein , hij hebben nog iets aan de onderkant , hebben hij ook nog iets , maar geen vlak vierkant , maar een uh , ja , hij staan erop 
A: 	wat zitten er aan de onderkant 
A: 	kunnen je dat beschrijven 
B: 	ja het zijn het zijn niet zo groot , het zijn um , ja , ik willen het haast gaan uitbeelden , maar 
A: 	het kunnen , al communicatie mogen 
B: 	ja dat mogen 
B: 	ja hij staan dus op ja 
B: 	en links zijn hij een beetje rond en rechts lijken hij recht te zijn 
B: 	maar het belangrijk zijn dat hij aan de bovenkant een beetje aan de rechterkant zo'n zo'n ja een lel zegmaar , zo'n ovaal dinge hebben 
A: 	ja 
B: 	en aan de linkerkant zitten een soort van vogelhuis 
B: 	stok 
A: 	ah oké 
B: 	en daarachter zitten een rond , dat hebben geeneen volgens mij 
B: 	maar die zien je niet helemaal volledig 
B: 	zitten aan de achterkant van het figuur 
A: 	maar wel erbovenop 
B: 	nee niet erbovenop 
A: 	niet erbovenop 
B: 	erachter 
B: 	dus ja zo 
B: 	dat zien je 
A: 	ah oké ik denken dat ik het dan weten aan de onderkant lijken een soort voet te staan van een soort langwerpig kunnen 
B: 	ja ja 
A: 	zullen je dat zo kunnen zeggen 
B: 	ja zo zullen je het kunnen zeggen ja ja 
A: 	en aan de linkerkant zijn inderdaad dat dat staaf voor die voor die vogel 
B: 	ja ja 
A: 	oké 
A: 	en dan een soort half cirkel die zichtbaar zijn en een soort lepel die er uit opsteken , aan de rechterkant 
B: 	ja veel ovaal zijn het wel 
A: 	veel ovaal 
B: 	ja 
A: 	ja 
B: 	ja en die cirkel zitten er nog weer achter 
B: 	beetje link 
A: 	link van elkaar die overlappen elkaar niet 
B: 	link van die ja 
B: 	nee nee nee 
A: 	nee precies 
B: 	ja 
A: 	dan ik denken dat ik het dan weten 
B: 	oké 
A: 	ik moeten dan zeggen zes 
B: 	oké 
B: 	dan een knop 
A: 	ja 
B: 	ja nou ja dit zijn dezelfde dus 
A: 	oké 
B: 	die ik net zeggen dus dan ja 
A: 	ja 
A: 	link het staaf 
A: 	het ovaal vormp en de half cirkel 
B: 	ja 
B: 	ja 
A: 	min of veel in het midden tussen die twee in toch 
B: 	ja kloppen ja ja 
A: 	ja en daar onder een soort voet waar het gewoon op tafel zullen kunnen staan zo 
B: 	ja 
A: 	ja 
A: 	ja zes 
A: 	deze hebben een half cirkel links aan de achterkant , die zichtbaar zijn 
A: 	en aan de onderkant dat dat dat dat dat poo 
B: 	ja 
A: 	waar je hem op tafel zullen kunnen zetten en aan de linkerkant zijn een soort goo of een 
B: 	ja ja ja dat zijn ja 
B: 	ja staaf inderdaad ja 
A: 	staaf en bovenop rechts zitten ook nog een ovaal 
B: 	ovaal ja 
A: 	ja 
B: 	d 
B: 	dit zijn de één die we hebben dus dat je hem op tafel kunnen zetten en 
A: 	ah ja 
B: 	een ovaal bovenop 
A: 	even kijken 
B: 	cirkel aan de achterkant 
A: 	en links ook een 
B: 	ja 
A: 	ja 
A: 	nummer drie 
A: 	ah ja deze zijn die met dat voe , met dat theekanachtig voe wat je op tafel zullen kunnen zetten , aan de linkerkant een soort 
B: 	ja ja cirkel achter en ovaal rechts ja 
A: 	ja cirkel achter 
A: 	ja 
B: 	O 
B: 	dit zijn weer die één met die theekan die je op tafel kunnen zetten 
A: 	ja 
A: 	ja 
A: 	nummer vijf 
A: 	dit zijn de met het theevoe dat je op tafel kunnen zetten en links zijn een uitsteeksel 
B: 	ja 
A: 	en bovenop een half cirkel 
B: 	ja H 
