B: 	even kijken 
B: 	ja dit doen me een beetje denken 
B: 	allereerst liggen er een balk bovenop 
B: 	maar echt een balk als een houten balk gewoon klein balk die niet heel veel uitsteken 
B: 	dan hebben je aan de linkerkant ook iets wat een beetje lijken op een soort van tuitje 
B: 	waar eventueel water uit zullen kunnen lopen omdat dat zo naar beneden gaan 
A: 	ja 
B: 	en aan de rechterkant hebben je iets van een beetje onduidelijk maar iets van een staaf naar beneden met een blok eraan 
B: 	blok 
A: 	staaf naar beneden 
B: 	het hebben ver geen plateau 
A: 	even kijken het zijn niet één waarop een soort ei boven liggen 
B: 	nee nee nee er liggen zo zo'n balk bovenop 
B: 	gewoon een een houten balk eigenlijk een lang balk 
A: 	die 
A: 	en dan hebben het een soort waarop waaruit een soort water uit zullen kunnen komen en dan in de rechterhoek een soort lang opengeslagen boek zoals jij net 
B: 	ja ja 
A: 	en dan daaruit ook nog iets wat omhoog kruipt 
B: 	ja 
A: 	dus laten maar zeggen alsof je een soort rechthoekje uit het beker zullen uithalen dat het zeggen maar zo daaruit steken een beetje 
B: 	ja 
B: 	ja 
A: 	zijn het die 
A: 	okee 
A: 	dan zijn het nummer vijfteen 
A: 	deze zijn één waaruit laten maar zeggen volgens mij omschrijven we het zijn een soort een soort kegelvorm waaruit wat zeggen maar linksonder van het bekert zitten 
A: 	en daarboven lijken het alsof er een soort rechthoek blok daaruit komen 
A: 	en aan de rechterzijde liggen er zeggen maar langwerpig opengeslagen boek 
B: 	wachten even kijken 
A: 	laten maar zeggen alsof er een soort blok uit het beker naar boven komen 
B: 	och 
A: 	en daar rechts van het bekert zitten een soort ja iets waaruit zeggen maar water uit zullen kunnen lopen 
A: 	en daar rechts van lijken het alsof er een soort opengeslagen boek zijn maar dan zeggen maar wat lang 
A: 	en daarin staan ook nog een heel klein staaf omhoog 
B: 	aan die balk bovenop 
A: 	laten maar zeggen het opengeslagen boek daar lijken het alsof er ook nog een soort staaf daaruit lopen 
B: 	ja 
B: 	en op de beker zelf liggen zo'n soort van balk op 
A: 	ja daarboven alsof je laten maar zeggen echt een soort balk uit het beker zullen halen 
B: 	okee 
B: 	ja dan zijn het d 
B: 	dit zijn met het watertui aan de linkerkant 
B: 	rechterkant lang opengeslagen boek met een balk eruit 
B: 	en daarbovenop een balk 
A: 	dat balk wat je eruit haalt laten maar zeggen of dat laten maar zeggen uit het beker komen 
B: 	ja 
B: 	ja 
A: 	ja dat zijn nummer dertien 
A: 	even kijken dit zijn dus waar het blok uit het beker komen 
A: 	met het opengeslagen boek wat lang aan de rechterzijde 
B: 	ja 
A: 	en aan de linkerzijde een soort iets waaruit water zullen kunnen komen 
B: 	okee I 
B: 	aan de linkerzijde tuitje waar water uit kunnen komen 
B: 	een balk in het beker 
B: 	zo zo of ja erop eigenlijk soort van 
B: 	en dan aan de rechterkant lang uitgeslagen boek met een staaf Erboven 
A: 	ja 
A: 	dat zijn nummer twaalf 
A: 	blok wat uit het beker komen 
A: 	langerwerpig of ja lang opengeslagen boek rechts 
A: 	en tui waaruit water kunnen komen links 
B: 	ah ja 
A: 	uit dat beker 
B: 	f 
