A: 	die zijn die dat kop die dan hebben dan bovenop een piramide maar die zijn wel afgevlakken 
A: 	en dan hebben die twee van die balk aan de zijkant aan de rechterkant 
A: 	en nog een neus 
A: 	twee van die balkjes waar wel een gaa tussen zitten 
A: 	waar wel één 
B: 	ja zo'n afgevlakt piramide en een klein staart nog 
A: 	ja 
A: 	ja 
B: 	ja dat zijn I mij 
A: 	ja een staart 
A: 	ja 
A: 	I 
B: 	ja dat kop met dat afgevlakt piramide op kop 
A: 	ja 
B: 	met dat istek aan de zijkant 
A: 	ja 
A: 	ja dat 
A: 	ja nummer twee 
A: 	dat istek en dat met die afgevlakt piramide 
B: 	yes 
B: 	M 
B: 	met de afgevlakt piramide 
B: 	en dat istek 
A: 	met de 
A: 	nummer negen 
A: 	het isteken en de afgevlakt piramide 
B: 	ja dat zijn F 
B: 	ik hebben met dat afgevlakt piramide en dat istekentje 
A: 	ja dat zijn nummer zes 
