B: 	deze hebben eigenlijk ook een soort plateau om zich heen maar dat kunnen je niet heel goed zien tenminste je kunnen niet echt van bovenop er op op rondkijken 
B: 	er liggen dan ook een soort bak op twee poot die uitsteken en achterop hebben je nog zo'n zo'n krul ding bovenop 
A: 	ja 
A: 	zo'n okan ja 
A: 	ok dat zijn dan nummer zestien 
A: 	ja dit zijn dan ook wat we over hebben helemaal hoog bovenin lijken dan net dat zo'n plateau om er omheen zitten met een klein bak er bovenop 
B: 	en dat bak dat lopen lopen af 
A: 	lopen af ja en dan hebben je aan de zijkant hebben je dan nog 
B: 	die poot of zo 
A: 	poot ja 
B: 	ja dan zijn dat P 
B: 	dit zijn zeggen maar weer die een met dat plateau dat redelijk bovenin zitten die twee dinge die er onderuit steken en die soort bak die er op staat en dan hebben je achterop nog zo'n krullend aanhangsel 
A: 	ja 
A: 	zo'n zo'n ja ok dat zijn dan nummer veertien 
A: 	ja dit zijn die die beetje hoog boven omringen worden door zo'n plateau met een bak er op en aan de zijkant eigenlijk zo'n twee poot en dan aan achterkant hebben je nog zo'n lus 
B: 	zo'n slurf ja dat zijn dan de N van Nico 
A: 	ja slurf 
B: 	dit zijn weer degeen met dat plateau met die poot en waar die bak op staat en die slurf of dat dinge dat staart of zo dat aan de achterkant 
A: 	ja ja 
A: 	ah 
A: 	ja dat zijn dan nummer tien 
A: 	ja dit zijn weer die plank die er eigenlijk bovenom om er omheen zitten met een blok er of een bak er bovenop en op twee poot aan de zijkant 
B: 	ja en dat arm dinge nog aan de achterkant 
A: 	ja en aan de achterkant ja ja 
B: 	ja dan zijn dat D 
