A: 	oké dit zijn een een een kop met een soort hoed en dan aan de linkerkant twee pilaart onder elkaar die niet zo lang zijn wel dezelfde lengte 
A: 	en aan de ander kant zitten ook nog een haak en een ander uitsteeksel 
B: 	oké wachten het haak zitten aan de onderkant 
A: 	er zitten een haak aan de onderkant aan de linkerkant en nog een ander uitsteeksel 
B: 	kloppen dat 
B: 	ja 
B: 	en dan twee blok rechts en een soort van hoed 
A: 	aan de ander kant 
A: 	ja 
A: 	en een soort van hoed ja 
B: 	I 
A: 	zijn ook weer minpunt 
B: 	dit zijn weer dat ding met een soort van hoed aan bovenop en dan twee blok rechts 
B: 	en zo'n ja buis ding link 
B: 	onderaan 
A: 	even kijken ja ja ja ja dat zijn twee 
A: 	dit zijn diegene met dat hoed en die twee gelijk balkjes aan de rechterkant 
B: 	rechterkant en twee ding link 
A: 	ja 
B: 	M 
B: 	dit zijn weer met die twee blok aan de rechterkant diezelfde grootte en dan zo'n hoed bovenop 
A: 	ja 
B: 	en twee dinget link 
A: 	ik hebben hem 
A: 	negen 
A: 	dit zijn diegene met dat hoed en die twee gelijk balkjes aan de rechterkant 
B: 	ja 
B: 	F 
B: 	dit zijn weer die met dat soort van hoed en die twee blok rechts en twee dinget link 
A: 	yes waar hangen die ja dat zijn zes 
