B: 	oké nou hebben jij 
A: 	nu hebben ik oeh 
A: 	oké het lijken op een ja ik het hebben beschrijven als een een een een clown zeggen maar toeter weten je 
A: 	aan aan de zijkant van zo'n oor zeggen maar 
B: 	ja ja ja 
B: 	en zijn aan de ander hebben die aan de bovenkant twee dinget 
B: 	bovenop 
A: 	ik hebben er één 
B: 	oké even kijken 
B: 	ja wachten zo'n toeter ja 
B: 	het zijn het zijn zeggen maar zo'n bol met zo'n staaf erdoorheen 
A: 	hij lijken op een 
A: 	ja 
B: 	en dan zo'n cirkel eraan 
A: 	kloppen 
B: 	oké 
A: 	alles link 
B: 	F 
B: 	nu hebben ik weer die die toeter zeggen maar en dan bovenop 
A: 	jou beurt 
A: 	zo'n appel 
B: 	ja 
A: 	oké 
A: 	vijf 
A: 	die clowntoeter en dan zo'n blad 
A: 	zo'n Pokemonblad weten je toentertijd 
B: 	ja 
B: 	A 
B: 	die met die toeter weer en die dat blaad 
A: 	nummer vijf 
A: 	de toeter met dat appelblad zeggen maar 
B: 	ja 
B: 	H 
B: 	die toeter en die de appelblaadje 
A: 	vijftien 
