A: 	er zitten een piramideachtig bovenop 
A: 	en aan de voorkant zitten rechtsvoor zitten een best wel dik Neusachtig iets 
B: 	ja 
B: 	ja ik zien hem 
B: 	en dan linksonder zitten er nog een bijna een cirkel 
A: 	ja 
B: 	B 
A: 	en 
B: 	soort piramidefiguur op de kop 
B: 	en een heel groot lomp figuur aan de rechterkant 
B: 	klein cirkelt linksonder 
A: 	ja 
A: 	en nog een klein dinge 
B: 	en klein dinge ja 
A: 	aan de 
A: 	aan de 
B: 	aan de linkerkant 
A: 	ja 
A: 	dertien 
A: 	voorin één of bovenop een piramide 
A: 	voorin een groot blok wat als neus uit zien 
B: 	ja 
B: 	klein dinget link 
A: 	ja 
A: 	en een rond onder 
B: 	ja 
A: 	ja 
B: 	I 
B: 	een piramide bovenop 
B: 	cirkelt link onder 
B: 	groot figuur rechts 
A: 	ja 
A: 	een 
A: 	een driehoek bovenop 
A: 	en een aan de zijkant een dun dinge aan de onderkant , of aan de linker zijkant zo'n dun dinge en aan de onderkant een half rond 
A: 	en aan de rechter zijkant een dikkere vierkantachtig iets 
A: 	bovenop zitten de driehoek 
B: 	bovenop zitten de driehoek 
B: 	aan de linkerkant een klein dinge 
B: 	of 
A: 	ja 
B: 	en een groot dinge rechts 
A: 	ja ja 
B: 	ah oké de de trapezium piramide boven piramide bovenop 
A: 	ja 
B: 	ja 
B: 	oké 
B: 	I 
B: 	piramide op de kop 
B: 	neus neus aan de rechterkant 
B: 	zo'n blok 
B: 	heel klein dinge aan de linkerkant 
B: 	en linksonder zo'n cirkel 
A: 	ja 
A: 	acht 
