A: 	ja nou staan die weer bij mij een beetje een lastig figuur maar er liggen dat komme en daarbovenop liggen een bal 
A: 	en daarvoor staan een paal 
A: 	en aan de beide kant zijn twee uitsteeksel 
B: 	ja 
B: 	oké die hebben ik vinden 
B: 	daarvoor staan zo'n heel lang paal toch 
A: 	ja 
B: 	en dan twee uitsteeksel en één zijn lang dan die ander 
A: 	ja ja 
B: 	oké 
B: 	dan zeggen ik D 
B: 	oké volgens mij hebben we deze al hebben 
B: 	dit zijn het komme en er zitten dus weer zo'n ei liggen er achterop met een groot balk hiervoor en die twee armp 
A: 	ja 
B: 	waar één armp lang zijn dan die ander 
A: 	ja 
A: 	hoe hebben je hem noemen bij test 
B: 	volgens mij hebben ik dat iets met die armpjes zeggen of zo 
A: 	oké 
A: 	ja 
A: 	maar inderdaad die bal erbovenop en die staaf ervoor 
B: 	ja 
A: 	ja 
B: 	ik hebben ook heel erg omschrijven als in groot balk voor 
A: 	oké 
B: 	of armp omheen 
A: 	oké 
A: 	ja ik hebben er wel een waterpomp van maken 
A: 	maar het zijn vijftien 
A: 	dit zijn ja de lang staaf voor recht staaf en de bal bovenop 
A: 	en twee armp zo 
B: 	dit zijn L 
B: 	dit zijn met die armpjes 
A: 	die twee 
B: 	ja en die balk voor 
B: 	ei bovenop 
A: 	ja ja ik zien hem nu staan 
A: 	nummer zes 
A: 	dit zijn die bal en die staaf voor en die twee arm opzij 
B: 	armp dat zijn J 
B: 	dit zijn met die armp en die balk voor en dat ei bovenop 
A: 	ja 
A: 	dat zijn nummer drie 
