A: 	okee er zitten een bal bovenop op het kop 
A: 	en er staan een vierkant staaf naast een beetje naar de rechterkant 
B: 	rechtsvoor zeggen maar 
A: 	ja 
B: 	ja 
A: 	en er steken nog twee klein cilindertjes doorheen 
B: 	ja aan de link en de rechterkant zeggen maar 
A: 	ja 
B: 	ja volgens mij zijn dat even kijken 
A: 	de bal bovenop ja 
B: 	ja dat zijn er maar één 
A: 	ja 
B: 	dat dat zijn bij mij b 
B: 	hee ze veranderen van plek 
A: 	ja 
B: 	dan zitten we in de twee ronde waarschijnlijk 
A: 	ja 
B: 	okee 
B: 	ze zijn nog hetzelfde ja 
B: 	deze hebben een een bol bovenop 
B: 	en bovenop het kop zeggen maar 
B: 	en daarvoor staan een staaf en links en rechts nog staaf 
A: 	ja 
A: 	yes 
B: 	rond staaf 
A: 	ja dat zijn nummer zeven 
A: 	kijken dit zijn die met de bal erbovenop en nog een een staaf rechtsvoor en nog twee dinget erdoorheen 
B: 	ja dat zijn j 
B: 	de de bol bovenop en de staaf rechtsvoor 
A: 	yes acht 
A: 	met de bal daar bovenop en de staaf rechtsvoor 
B: 	ja dat zijn p 
B: 	de bal bovenop en de staaf rechtsvoor 
A: 	yes dat zijn tien 
