A: 	een dit zijn weer de bak en aan de rechterkant zitten twee pilar 
B: 	ja 
A: 	en die zijn dezelfde lengte , zelfde breedte 
B: 	ja ja ja ja 
A: 	en aan de linkerkant zitten een soort van hendel kunnen je het zien 
B: 	ja en hij hebben een soort hoed op 
A: 	ja en hoed op 
A: 	ja 
B: 	zijn nummer of letter A 
B: 	een bak met een hoed en aan de rechterkant twee gelijk uitsteeksel 
B: 	en aan de linkerkant twee ook twee uitsteeksel maar die zijn totaal anders 
A: 	oké 
A: 	zijn nummer veertien 
A: 	een bak met aan de rechterkant twee gelijkig gelijk stokjes , bovenop een soort van feesthoek hoed 
A: 	aan de linkerkant zijn , zijn die de hendel , de deurklink 
A: 	voor 
B: 	aan de rechterkant zitten die twee gelijk 
A: 	ja ja ja 
B: 	A 
B: 	bak met twee gelijk uitstulping aan de rechterkant 
B: 	en bovenop een 
A: 	hoed 
B: 	soort hoed ja 
A: 	nummer dertien 
A: 	aan de rechterkant zitten twee uitstulping , twee stok , die even breed en even lang zijn , bovenop een hoed 
B: 	P 
B: 	bak met twee gelijk uitstulping aan de rechterkant en een hoed op 
A: 	nummer een 
