B: 	de er zitten een soort van haak aan de linkerkant 
B: 	en er steken twee dinget bovenuit 
B: 	en er zitten een vierkant schijf doorheen 
A: 	ja ja 
A: 	oké 
A: 	zijn zes 
A: 	dit zijn dat komme met een een platformp ertussen 
A: 	en dan zitten er nog zo'n soort ja ik zien het een beetje als een soort van glijbaan maar 
B: 	ik zien het ook als een glijbaan 
A: 	ja 
B: 	C 
B: 	bij mij zijn weer met de glijbaan 
A: 	ja want het zijn ja ja dat zijn dertien 
B: 	dan weten je denken ik welk ik bedoelen 
A: 	dit zijn degeen met platform in het midden en de glijbaan 
B: 	ja J 
B: 	dit zijn de glijbaan 
A: 	de glijbaan waar zijn je 
A: 	ja dat zijn negen 
A: 	dit zijn met glijbaan en het platform erdoorheen ja 
B: 	ja 
B: 	waar zijn die 
B: 	N 
