B: 	oké deze noemen ik stoom uit de oor 
B: 	omdat die drie van die aan beide kant drie van die bolle uit de oor hebben uit de 
A: 	van die spiraalt 
B: 	ja van die spiraalt ja 
A: 	ja ja ja 
B: 	ja 
A: 	ja oké 
B: 	en die hebben ja van die armpjes in het water of zo 
A: 	ja ja ja 
A: 	ja ja ja ik snapen hem ja 
B: 	ja 
B: 	oké dat zijn bij mij A 
A: 	A vijf 
A: 	degeen met die drie raar dinge aan de zijkant van het hoofd aan beide kant 
B: 	even kijken 
A: 	met plaat op de voorkant 
A: 	met een armp uit het water hoe jij dat noemen 
B: 	die ja 
B: 	J 
B: 	en bij jou 
A: 	tien 
B: 	J tien 
B: 	dit zijn met die drie dinge zo uit de uit de uit de zijkant 
A: 	ja 
B: 	d 
A: 	elf 
A: 	d elf 
A: 	oorbel drie van die bollet aan de zijkant van het hoofd 
B: 	ja 
A: 	zestien 
B: 	wachten dit de de drie drie 
A: 	ja ja ja 
B: 	ja 
B: 	P zestien 
A: 	zestien 
A: 	dus we zijn erachter dat elk keer als het wat zijn zijn het hetzelfde 
B: 	dit zijn die met die die drie ding zo uit uit de oor met die plat neus K 
A: 	ja 
A: 	K negen 
A: 	jou oorbel 
A: 	drie van die ding aan elk kant 
B: 	drie van die ding 
A: 	yes 
A: 	elf 
B: 	L 
B: 	L elf 
