B: 	oké de volgen 
B: 	deze hebben dat een een vierkant plaat in het midden die hem zeggen maar doormidden haalt 
A: 	ja en dan zo'n soort schoorsteen aan de linkerkant 
B: 	ja en twee haart bovenop 
A: 	haart ja 
A: 	oké dan zijn het nummer zes 
A: 	dit zijn die een met dat vlak dwars erdoorheen 
B: 	oké 
A: 	en met die twee spriet bovenop 
B: 	dat zijn bij mij C 
B: 	oké 
B: 	dit zijn die met het met de plaat doormidden zijn gehakt 
B: 	en de twee schoorsteent bovenop 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer dertien 
A: 	dit zijn die een met het vlak dwars doormidden snijden 
B: 	ja 
A: 	met die twee ding bovenop 
B: 	dat zijn J 
B: 	door het vlak doormidden halen 
A: 	ja dat zijn nummer negen 
A: 	nummer negen 
A: 	de een met de balk dwars door de midden met de twee twee haart 
B: 	dat zijn N 
