A: 	ok deze hebben zo'n soort joystick achtig ding bovenop zitten 
A: 	zo'n beetje zo'n ovaal met een soort dat telescoopachtig ding met die klein blok die steeds groot worden beetje rechts vooraan 
B: 	ja 
A: 	en dan links vooraan weer zo'n joystick die naar buiten opsteken en aan de achterkant zo'n soort worm staaf 
A: 	ja ik hem de heel tijd tijdens die ander test noemen alsof hij zo'n soort telescoopoog hebben omdat hij aan de voorkant zo'n 
A: 	telescoopding hebben je hebben hebben dat plaat met die die een beetje op zo'n robot lijken die hebben twee van die ding als een soort oog en deze 
B: 	ja 
B: 	die denken ik eerst 
A: 	ja precies maar deze hebben er één 
B: 	o die 
B: 	die hebben er één ja en dan hebben hij bovenop één staaf en zo'n zelfde staaf links en dan achter zo zo'n gek ding 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	ja ja zo'n gek aanhangsel ja 
B: 	ok dat zijn dan 
A: 	dus het zijn die met die met dat een een telescoop ding ja 
B: 	ja 
B: 	dat zijn dan E 
A: 	ok 
B: 	dit zijn met die telescoop met één ding 
B: 	en dan dus ook aan de bovenkant weer zo'n spriet en aan ander kant zo'n zelfde spriet en de achterkant dat wormp 
A: 	ja en dat wormp aan de achterkant ja dat zijn elf 
A: 	ja dit zijn die met die een telescoop en één zo'n joystick 
A: 	er bovenuit en dan één link en dat raar wormp erachter ja 
B: 	en een wormp 
B: 	ja dat zijn voor mij J 
B: 	dit zijn met één telescoop en die twee joystick en één sliertje wormp 
A: 	ja ja dat zijn nummer negen 
A: 	dit zijn met die een telescoop en die twee penne bovenop aan de zijkant en die dat wormding aan de achterkant 
B: 	die een telescoop 
B: 	dat zijn voor mij B 
B: 	dit zijn met één telescoop die twee joystick en een slier wormp 
A: 	dat zijn vier 
