A: 	ik hebben nu één die basisvorm met een bol hier of wachten even een bol hier voor jou en dan zitten aan de ander kant zitten zo'n paal naar beneden 
A: 	en daar zitten zo'n arm aan 
B: 	de paal zitten aan de voorkant van het ding 
A: 	ja aan de voorkant 
B: 	oké dan zijn dat nummer D 
B: 	en hij hebben ook nog twee armp 
A: 	ja 
B: 	oké ja dat zijn D 
A: 	van die 
A: 	ja 
A: 	ja ze veranderen 
A: 	nu weer 
A: 	oké 
B: 	dit zijn die met het ei erbovenop en dan de balk aan de voorkant 
A: 	ja vijftien 
A: 	dit zijn degeen met de armp en de balle bovenop en de stok aan de voorkant 
B: 	ja L 
B: 	het zijn die met die stok aan de voorkant die verticaal paal 
A: 	ja 
B: 	en een balle erbovenop 
A: 	even kijken hoor 
A: 	ja 
A: 	nummer zes 
A: 	dit zijn degeen met de paal aan de voorkant het balle erbovenop en de armpjes 
B: 	J 
B: 	het zijn die met die paal ervoor 
A: 	met die peil ervoor 
B: 	paal 
A: 	sorry ja 
B: 	sorry ik kunnen niet praten 
A: 	nee dat maken me niet uit ja drie 
