B: 	oké dit je hebben hier weer de basisvorm en daaronder komen een een ding naar beneden en die zitten zeggen maar zo draaien 
A: 	ja ja ja 
B: 	en daar zitten een driehoek onder 
A: 	ja 
B: 	weten je welk ik bedoelen 
A: 	ja en er zitten er bovenin zitten er dan een ja een beetje een kubus 
B: 	ja 
A: 	en nog een ander ja 
B: 	twee 
A: 	ja precies en nog een schuin ding 
B: 	en nog één of ander gek ding 
A: 	ja ja 
A: 	oké dat zijn vier 
A: 	ik hebben nu die soort helixachtig onderkant 
A: 	dat draai vormen ding 
B: 	ja 
B: 	ja 
B: 	ja oké dat zijn A 
A: 	met 
B: 	ik hebben de helix 
A: 	ja oké 
B: 	aan de onderkant 
A: 	dat zijn met die kubus Erboven ja 
B: 	ja 
A: 	dat zijn tien 
A: 	ik hebben nu die dat draaiding 
B: 	de helix 
A: 	de helix ja 
B: 	ja dat zijn L 
B: 	oké ik hebben de helix 
A: 	ja 
A: 	ik kunnen ze steeds weinig goed zien ja 
A: 	zijn nummer vier 
A: 	ik hebben de helix 
B: 	ja 
B: 	oké dat zijn F 
