B: 	oké ik hebben het vierkantje 
B: 	ik hebben eigenlijk al poppet of afbeelding hebben ik eigenlijk een beetje gebruiken alsof het gezicht zijn 
A: 	ja 
B: 	dus waar het rood vierkantje nu omheen staan zijn voor mij de Pinokkio zonder arm 
B: 	het zijn een nou ja blauw kop zeggen maar 
A: 	ja 
B: 	met naar links kijken 
A: 	naar links kijken 
B: 	met een lang 
B: 	voor mij naar links 
A: 	ja 
B: 	je hebben namelijk ook naar rechts kijken en dat noemen ik dan de ding met met arm ja de Pinokkio met arm en je hebben Pinokkio zonder arm 
A: 	met die arm 
A: 	ja 
A: 	ja 
B: 	het beeld of de afbeelding hebben aan de linkerkant een rond vlak 
A: 	linkerkant een 
B: 	en op het hoofd zeggen maar een soort van haartje zitten 
A: 	oké wachten even 
A: 	aan de linkerkant een rond vlak 
B: 	je hebben er dus twee die op elkaar lijken en het zijn degeen dus zonder arm 
B: 	voor mij dan 
A: 	ja wachten even ik kijken even 
A: 	twee haart en zijn één haartje een rechthoek en de ander een soort van kegeltje 
B: 	er zijn maar één haart zitten erop 
A: 	één haartje 
A: 	ja ik weten al welk het zijn 
B: 	ja 
A: 	het zijn Numero dertien 
A: 	dit noemen ik gewoon eigenlijk gewoon het simpel theekopje omdat er een soort van kegeltje in steken waardoor het lijken alsof er een lepeltje insteeken 
A: 	en er zitten en er zitten een soort van blad nog aan de ja 
B: 	ja 
B: 	Pinokkio zonder arm 
A: 	ja 
B: 	hij kijken naar links 
A: 	hij kijken naar links hij hebben zo'n blad een soort van nog rechts van zich 
B: 	ja 
B: 	ja dan met een wel een uitstulpsel als een neus toch 
A: 	ja en dan en 
B: 	je hebben een twee variant daarvan die met veel veel 
A: 	en daaronder zitten ook nog een soort van ja een blok 
B: 	ja 
A: 	ja ik weten niet het zijn niet echt een figuur wat ik kunnen duiden 
B: 	ja 
B: 	je hebben er daar nog één van en die lijken er heel erg op maar die kijken de ander kant op toch 
B: 	je hebben twee die een beetje op hetzelfde lijken 
B: 	de Pinokkio's 
B: 	één met arm en één zonder arm 
B: 	oké dan 
A: 	nou ja in ieder geval ik denken dat die in in ieder geval met één zo'n kegel een één 
B: 	eruit 
A: 	ja één kegel eruit een rond 
B: 	ja 
A: 	zitten erin 
B: 	aan de zijkant aan de achterkant hè ? ja 
A: 	aan aan de zijkant aan achterkant ja 
B: 	dan misgaan het om O 
B: 	nou dit zijn het jou normaal theekopje 
A: 	mijn normaal theekopje 
A: 	met dat blok eronder 
B: 	met blok eronder en een rond aan de 
A: 	en die neus die Pinokkio 
B: 	ja precies en dan één zo'n klein roerstaafje er 
A: 	dat zijn 
A: 	dat zijn Numero acht 
A: 	eigenlijk mijn normaal theekopje 
B: 	dat zijn dan nummer C 
B: 	dit zijn het normaal theekopje 
A: 	normaal theekopje zijn Numero zeven 
A: 	het normaal theekopje 
B: 	worden C 
B: 	gelukkig ik zijn er klaar mee 
A: 	ik kunnen die figuurt echt niet veel zien 
B: 	nee ik krijgen vannacht nachtmerries 
B: 	ik hopen niet veel dat we die MRI in hoeven 
A: 	hallo 
B: 	hoi 
A: 	nou zijn leuk 
B: 	ja wel goed 
B: 	vallen een paar keer vallen die eraf 
