B: 	nou 
B: 	d hebben ik omschrijven als ja de kralenketting zitten erbij 
B: 	en een soort zuignap op de voorkant 
A: 	oké 
B: 	en hij staan op een plateau 
A: 	ja 
A: 	ah nummer tien 
A: 	een bak die of die staan op een vierkant 
A: 	hij worden doorboren met door eigenlijk een soort van kraal 
B: 	ja 
A: 	en een zuignap aan de voorkant 
B: 	dat zijn M 
B: 	kralenketting bak 
A: 	nummer drie 
A: 	de bak die leunen op de plaat met de kraal 
A: 	met de kralen aan de bovenkant 
B: 	ja B 
B: 	kralenketting staan op het plateau 
A: 	nummer twee 
A: 	de bak met de kraal , die staan op het vierkant 
B: 	O 
