A: 	okee je hebben weer dat kopvormpje 
A: 	erbovenop ja liggen een bal 
B: 	ja 
A: 	aan de Rechtervoorkant beetje ja voorkant beetje veel naar rechts daar hebben je één ja een paal 
B: 	ja 
A: 	dus gewoon een ja nou een vierkant paal 
B: 	en dan aan allebei de kant soort van ding aan de zijkant 
A: 	en erdoorheen 
A: 	ja 
A: 	ja er doorheen zitten een je weten wel zo'n ding van IKEA waar je je zo'n ding 
B: 	ja 
B: 	die ja inderdaad nee ik snapen hem ja 
A: 	ja 
B: 	a 
B: 	er liggen een bollet zeggen maar bovenop het kop 
B: 	en dan zitten er voorin zitten een soort van een langwerpig zeggen maar een een een rechthoek zeggen maar een blok er voorop zeggen maar 
A: 	ja een balkachtig 
B: 	een balk-ish ja 
B: 	en dan met twee van die dinge aan de zijkant 
A: 	ja 
B: 	ja 
A: 	met een beetje zo'n aan de linkerkant een l-curve 
B: 	die IKEA-sleutel 
A: 	ja de IKEA-sleutel 
B: 	ja 
A: 	veertien 
A: 	dit zijn die met een een bal erbovenop 
A: 	met erdoorheen zeggen maar die IKEA tang 
B: 	ja ja met de staaf er voorop nog 
A: 	ja 
B: 	ja 
B: 	h 
B: 	dit zijn zijn die weer diegene met de IKEAsleutels aan de zijkant 
A: 	okee 
B: 	een bolle bovenop 
A: 	ja acht 
B: 	okee 
A: 	even kijken dit zijn die met de bal erbovenop en de IKEA-sleutel erdoorheen 
B: 	ja c 
B: 	dit zijn met de twee IKEA-sleutels en bolletje bovenop 
A: 	yes tien 
