B: 	oké deze ja deze vinden ik ook best wel lastig 
B: 	dat zijn je hebben weer dat kop zeggen maar dan hebben die zo'n soort rond neus daarop 
B: 	en dan hebben die twee van die staaf erin 
A: 	ja 
B: 	één zo'n soort rechthoekig lineaal 
A: 	dat zijn ook de enig met twee staaf erin volgens mij 
B: 	ja volgens mij wel 
A: 	ja 
B: 	één zo'n lineaal en één zo'n soort puntig kristaldinge 
A: 	juist ja ja 
B: 	ja 
A: 	en dan hebben die zo'n zo'n zo'n afvoerbak naar de zijkant toe en zo'n 
B: 	ja ja 
A: 	ja oké 
B: 	zo'n tui 
A: 	dat zijn voor mij nummer veertien 
A: 	zijn degeen met twee spatelt de lineaal en de penseel 
B: 	ja 
B: 	en dat ander dinge 
A: 	ja 
B: 	ja 
B: 	dat zijn bij mij N 
B: 	oké nu hebben ik dat kop met dat met die lineaal en die penseel erin 
B: 	en dat bolle erop zeggen maar 
B: 	dus met die twee staaf erin 
A: 	ja daar zijn die 
A: 	nummer negen 
A: 	ik hebben degeen met de lineaal en de penseel erin 
B: 	ja 
A: 	staan bij mij in het midden 
B: 	ja bij mij ook 
B: 	dat zijn G 
B: 	nu hebben ik dat kop met die lineaal en dat penseel erin 
A: 	ja nummer vijf 
A: 	ik hebben de penseel en lineaal 
B: 	ja dat zijn J 
