B: 	oké 
A: 	ah 
B: 	ik hebben het vierkantje 
A: 	cool 
B: 	dus dan moeten ik hem aan jou omschrijven denken ik 
A: 	ja 
A: 	ja 
B: 	ja het zijn gewoon dat emmer zeggen maar 
A: 	ja 
B: 	met ja zo'n soort roerstaafje erin die een beetje zo ovaal zijn 
A: 	ja 
B: 	en aan de onderkant komen er zo'n ja hoe noemen je dat zo'n afronden staaf zeggen maar uit 
B: 	dus hij staan zeggen maar op een soort poo 
A: 	hij staan op een poo 
B: 	en dan zitten er zo'n stok soort van in als een kop 
A: 	ja 
B: 	en er komen één zo'n buis uit aan de linkerkant 
A: 	aan de linkerkant 
B: 	ja 
A: 	en hij staan op een ja ja ja 
B: 	en aan de zijkant zitten zo'n rond schijf tegenaan 
A: 	alleen een rond schijf niet zo'n uitsteeksel zeggen maar 
B: 	dus je hebben aan de linkerkant zo'n uitsteeksel van het beker 
A: 	bummer 
B: 	hij staan op een soort poo 
A: 	ah ja en een rond schijf aan de achterkant inderdaad 
B: 	ja 
B: 	ja 
A: 	ja oké 
A: 	dan moeten ik op de knop drukken nummer dertien 
B: 	dan moeten jij 
A: 	en dan op de geel knop 
A: 	het zijn degeen die die die staan op een op een balk 
A: 	met één spatel erin en een Pinokkioneus 
B: 	ja 
B: 	ja dat zijn bij mij O 
B: 	oké 
B: 	ja hoe hebben we deze het zijn weer verplaatsen 
A: 	ja 
B: 	het zijn die met één zo'n roerstaafje erin en die staan op zo'n soort van ovaal pilaar 
A: 	ja 
B: 	en die hebben zo aan de zijkant zo'n rond schijf aan de achterkant zeggen maar 
A: 	ja rond schijf en een Pinokkioneus 
B: 	en dan zo'n pinokkioding ja 
A: 	ja oké 
B: 	ja 
A: 	nummer acht 
A: 	de de Pinokkio 
A: 	met één lepel en een schijf aan de achterkant 
B: 	ja 
B: 	ja dat zijn bij mij C 
B: 	ja dit zijn met die Pinokkioneus 
A: 	ja 
A: 	even zoeken 
A: 	daar 
A: 	met de met de rond schijf aan de achterkant 
B: 	ja en dan dat één zo'n roerstaafje 
A: 	ja 
A: 	dit zijn nummer zeven 
A: 	de Pinokkio neus 
A: 	met de rond schijf 
B: 	even kijken waar die zijn 
A: 	op de achterkant 
A: 	staan rechtsboven bij mij 
B: 	ja 
A: 	maar die staan draaien met de picknicktafel 
B: 	ja bij mij staan de picknicktafel helemaal rechtsboven maar C dat zijn die waar we het nu over hebben 
A: 	oké super 
B: 	ik hebben een beetje honger 
