B: 	oké ik hebben het rood scherm 
B: 	rood dinge 
B: 	ik vinden het een beetje op een steelpan lijken 
B: 	met zo'n plat rond aan de achterkant 
A: 	ja 
A: 	en dan en dan rechts bovenin nog zo'n zo'n punt toch 
B: 	ja soort van lepel 
A: 	ja ja alsof er een lepel in staat oké 
B: 	ja 
A: 	dat zijn nummer dertien 
A: 	deze zijn die hebben zo'n aan de achterkant dat rond zitten 
A: 	je uitzien eigenlijk alleen maar de helft van dat rond zo'n staart en dan zo'n uitstulpsel die link eruit komen 
B: 	een rond aan de achterkant 
A: 	ja dus eigenlijk eigenlijk aan de achterkant van het kop zien je zien je nog de contour van een half rond 
B: 	daarboven 
A: 	ja 
B: 	en dan zo'n uitstulpsel 
A: 	ja zo'n staart 
B: 	aan de zijkant nog iets 
A: 	ja 
A: 	en aan de onderkant zo'n blok waar die op leunen 
B: 	ja 
B: 	dat zijn O 
A: 	ja 
A: 	gaan ik vanaf nu gewoon alleen dat blok noemen dat zijn veel makkelijk 
B: 	ja dat blok 
B: 	ik hebben dat met dat blok eronder 
A: 	ja met die steunpilaar 
A: 	nummer acht 
A: 	die met dat blok eronder 
B: 	ja dat zijn C 
B: 	met dat blok 
A: 	ja 
A: 	dat zijn nummer zeven 
A: 	dat met dat blok onderin 
A: 	en 
B: 	C 
A: 	oké 
B: 	vinden het wel leuk 
