B: 	deze hebben zegmaar een spijker bovenop en een vierkant vlak aan de voorkant 
A: 	ja twee 
B: 	met twee blokkentorent link 
A: 	ja 
A: 	deze hebben een vierkant schijf ervoor en dat spijkertje er in en die twee blokkentorens ja 
B: 	blokkentorent 
B: 	G 
A: 	ja 
B: 	hij hebben zegmaar een spijker bovenop links twee blokkentorent en een vierkant scherm 
A: 	ja 
A: 	negen 
A: 	vierkant scherm aan de voorkant spijkertje er in en die twee blokkentorens 
B: 	d 
B: 	twee blokkentorent link spijker bovenaan vierkant schermpje vooraan 
A: 	twee blokkentoar links 
A: 	ja één 
A: 	vierkant scherm aan de voorkant spijker en die twee blokkentorent 
B: 	B 
