B: 	oké deze zijn best wel klein hij hebben twee soort ding aan de zijkant laag en een balk bovenop 
A: 	ja 
B: 	en hij hebben nog aan de voorkant iets waar ook nog een pin uit komen of zo 
A: 	ja 
A: 	en ja dat zijn een heel klein 
B: 	ja die zijn heel simpel 
A: 	er opsteken niet zo heel veel uit 
B: 	nee 
A: 	ja oké dat zijn acht 
A: 	dit zijn die heel compact zeggen maar met dat balk bovenop en 
B: 	ja en alleen maar zo twee van die ding aan de zijkant en één 
A: 	ja 
B: 	oké dat zijn E 
B: 	ik hebben die heel compact met zo de balk op de bovenkant en twee van die ding aan de zijkant en één zo'n 
A: 	ja dat zijn één 
A: 	dit zijn die heel klein met die balk bovenop 
B: 	ja 
B: 	dat zijn E 
B: 	ik hebben die heel compact met die balk aan de bovenkant 
B: 	en zo die twee klein uitsteeksel 
A: 	ja 
A: 	dat zijn zestien 
A: 	dit zijn die heel compact 
B: 	ja even zoeken 
B: 	ja dat zijn O 
