A: 	deze vinden ik lijken op een eend 
A: 	want hij hebben een soort van zo'n istek 
A: 	en dat zijn dan de snavel 
A: 	en dan hebben die nog een soort van ja hoe noemen je dat ? een soort van trapezium bovenop 
B: 	ja 
A: 	oké 
B: 	en dan zo een staart linksachter en dan een soort heel minimalistisch vleugel die zo doen 
A: 	ja 
A: 	ja ja 
B: 	ja 
B: 	dat zijn I 
B: 	dit zijn die jij op een eend vinden lijken met de vleugel zo 
A: 	dat zijn twee 
A: 	dit zijn weer die eend 
B: 	waar zitten die ? ja dus dat zijn M 
B: 	dit zijn weer de eend met de 
A: 	die eend zeggen je toch 
B: 	ja met een met gelijkheidteak 
A: 	ja 
A: 	dat zijn negen 
B: 	als mond 
A: 	dit zijn weer die eend 
B: 	ja waar staan die 
B: 	F 
B: 	dit zijn de eend 
A: 	ja dat zijn zes 
