A: 	nou mogen ik weer iets uitleggen toch 
B: 	yes 
A: 	ok nou bij mij het zijn het zijn de enig met de recht paal naar boven een vierkant 
A: 	en er zitten twee poot aan die lijk op arm zullen je kunnen zeggen en op de mok zitten nog een bolletje lijken op een hoofd 
B: 	ja en zijn een beetje zo'n 
A: 	ja echt alsof hij hij doen echt breed ja 
B: 	nou het hebben een eihoofd en twee klein armpjes echt heel dun armpjes 
A: 	ja precies 
A: 	ja maar het zijn niet niet die met het platform 
A: 	ja ja dat eihoofd inderdaad nee jij zeggen je snaplen sowieso welk ik bedoelen 
B: 	ja Jajaja nee niet die met het platvorm nee ok D 
A: 	ja 
B: 	o ja 
B: 	o zijn verplaatsen 
B: 	even kijken o dit zijn zeggen maar het het dik man met een vierkant staaf er aan dus met zijn arm een beetje pinguïn achtig 
A: 	o die een ja dat zijn die hebben we al hebben hè ? toch 
B: 	ja ja we nu komen ze weer allemaal opnieuw 
A: 	ja 
A: 	ok ok ok dus nee dat weten ik al ja ok vijftien 
A: 	die een die breed of ja weten je wel die zo doen 
A: 	ja 
B: 	inderdaad o zo jajajaja inderdaad met de balk ja 
A: 	ja en die van de balk ja het zijn ook puar fantasie 
B: 	L 
B: 	dan macho man met een met een pilaar blok 
A: 	die 
A: 	jajaja ja ja o zes 
A: 	ja die dit die kerel weten je wel ja die kerel 
B: 	die kerel J 
B: 	macho 
A: 	ok drie 
