B: 	het voelen alsof dit kop naar links aan het bewegen zijn als een soort robot 
B: 	met twee heel pixelachtig object en een soort van antenne op de kop 
B: 	voorin zitten een voorkant 
B: 	alsof het erop plakken zijn dat vierkant 
A: 	ja 
A: 	ja twee van zo'n die naar links wijzen die steeds dik worden 
B: 	ja 
B: 	hij zullen zo naar links kunnen gaan als het zijn 
A: 	ja 
B: 	ja 
A: 	twaalf 
A: 	aan de voorkant zitten een groot vierkant plateau 
A: 	of vierkant vlak en aan de bovenkant komen er een soort van spijker uit en aan de zijkant twee 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	inderdaad twee pixelachtig ding en alsof hij naar links aan het gaan zijn 
A: 	die 
A: 	ja 
B: 	ja N 
B: 	vierkant zitten ervoor 
B: 	spijker op de kop 
B: 	en twee pixelachtig ding gelijk aan de linkerkant 
A: 	ja 
A: 	ja 
A: 	een 
A: 	zo'n spijkervorm dinge bovenop 
B: 	ja 
A: 	twee pixeldinget aan de zijkant 
B: 	ik hebben hem 
A: 	oké 
B: 	d 
B: 	lopen naar links , vierkant aan de voorkant 
B: 	met spijker op de kop 
A: 	ja zeven 
A: 	met de spijkert en aan de linkerkant twee pixel dinget 
B: 	ja 
B: 	L 
