B: 	ik noemen deze Pippi Langkous er zitten een ding doorheen met van die klein blok 
B: 	staan op een platform 
B: 	hebben een plat muntstuk aan de voorkant 
A: 	ja 
B: 	met een klein dinge eraan 
B: 	en er zitten nog een klein dinge aan de achterkant 
A: 	ja zijn nummer vijf 
A: 	dit zijn die jij Pippi Langkous noemen 
A: 	met die zes rui 
B: 	ja 
B: 	hebben ik vinden 
B: 	ja dat zijn bij mij J 
B: 	dit zijn Pippi Langkous 
A: 	ja zijn nummer elf 
A: 	Pippi Langkous 
B: 	ja 
B: 	dat zijn bij mij P 
A: 	ja 
B: 	Pippi Langkous 
A: 	ja nummer negen 
A: 	Pippi Langkous 
B: 	Pippi Langkous ja 
B: 	dat zijn bij mij L 
