A: 	dan zitten hij op de goed plek 
A: 	oké deze zijn volgens mij hebben ik wel denken ik nou gewoon bekervorm natuurlijk en dan hebben je een staaf er dwars doorheen maar dat zijn best wel een klein staaf en dan hebben je twee driehoek 
A: 	die een soort van in liggen in het volgens mij hebben er maar één die 
A: 	en daar zijn er twee uitsteeksel die vastzitten aan driehoek 
A: 	aan de nee aan de vierhoek eigenlijk het zijn een er zijn twee kubus die liggen op hun liggen op hun punt in de beker 
A: 	en daar zijn 
B: 	en hij hebben one's er gaan nog drie stok in naast 
A: 	ja precies er gaan drie stok in er zijn twee uitsteeksel 
B: 	oké 
B: 	het zijn M 
A: 	ja 
B: 	dit zijn weer die kop waar een vierkant in zitten twee vierkant en die worden aandrijven door twee ding aan de zijkant 
A: 	ja ik zien hem 
A: 	ja 
A: 	dat zijn negen 
A: 	oké ik zijn weer ach dit zijn weer die de vierkant die op zijn zij liggen in het kop met de twee vierkant die er soort van in gaan doen 
B: 	even opnieuw 
A: 	er zitten een het zijn een vierkant die op zijn in zijn op zijn punt in het kop liggen 
B: 	ja 
A: 	met twee vierkant die steeds klein worden 
B: 	ja oké 
A: 	die hendelt 
B: 	dat zijn H 
B: 	oké er zitten een vierkant in die worden weer aandreven door twee vierkant die klein worden 
A: 	ja 
B: 	die twee en waar ook zo'n slurf uit komen 
A: 	oké even kijken waar zijn die 
A: 	waar zijn die 
A: 	zijn het zijn het zijn het die met de zijn het die met de de vierkant de waar die in zitten in de hoek 
B: 	ja er zitten twee vierkant zitten erin 
A: 	ja die zijn het ja 
B: 	en er komen twee van die 
A: 	die zijn zo ingewikkeld 
A: 	elf zijn dat 
A: 	en even kijken hoor 
A: 	ja dit zijn met de driehoek en de twee de de vierhoek met de twee vierkant die eraan vastzitten als hendelt 
B: 	ja 
B: 	ja 
B: 	dat zijn D 
A: 	zijn jij 
B: 	dat zijn die met de vierkant erin 
A: 	ja 
B: 	waar die twee twee uitreksel 
A: 	met die twee uitsteeksel ja 
A: 	dat zijn veertien click of the computer 
