A: 	oké bij mij dit vinden ik zelf een beetje een apart 
A: 	ik zullen zeggen dat het een soort van hij hebben een soort van vierkant neus aan de rechts kant zitten rechtsvoor 
B: 	echt een blok 
A: 	ja nou het zijn niet per se een blok het zijn een blok wat eigenlijk groot worden zo 
B: 	wachten rechtsvoor 
B: 	zo'n ding 
B: 	ja 
A: 	en dan zitten er twee soort van ja staven handvat of zo aan plus nog een soort van slinger aan de linkerachterkant 
B: 	hier 
A: 	van van dat ding 
A: 	ik hebben hem ik zullen niet zeggen hoe ik hem omschrijven hebben in de in de ander test maar ik weten niet of dat nog nodig zijn maar er zitten dus twee een soort van octoneus van van Sponge Bob zeggen maar 
B: 	ja aan de ander kant en dan van boven ook nog zo ja 
A: 	één aan de bovenkant één en dan 
B: 	en dan twee 
A: 	en dan één linksvoor en één die een beetje naar achter toe gaan maar dat zijn veel een slurf zeggen maar die zijn niet helemaal zo en dan zitten er aan de rechtsvoorkant zitten er een soort van vierkant ding wat eruit komen 
B: 	ja 
B: 	ja 
B: 	ja ja ja ja 
B: 	ja 
A: 	ja 
B: 	ja die dus in blok steeds groot worden 
B: 	ja 
A: 	welk zijn dat bij jou 
B: 	E 
B: 	dit zijn de hoe hebben we het ook alweer 
B: 	de dat zijn die een met dat blok die met drie hebben één omhoog en nog drie ander uitstulpinkjes maar nog één met dat blok dat steeds groot worden één 
B: 	je hebben ook één met twee maar dit zijn die een ja 
A: 	met die neus ja ja die met die drie tentakel eigenlijk en dan die vierkant neus 
B: 	ja 
B: 	ja en dan één dinge nog op zijn hoofd 
A: 	ja ja ja één zo en dan één aan de zijkant en naar achteren 
B: 	ja 
B: 	ja ja die 
A: 	ja dat zijn nummer elf bij mij 
A: 	oké dit zijn die een weer met die drie tentakel zeggen maar met dat vierkant ding wat eruit komen 
A: 	wat groot worden 
B: 	ja 
B: 	hebbes dat zijn J 
B: 	dit zijn die een met het één ding eruit en drie ander ding en één zo'n vierkan die steeds groot zijn 
A: 	ja ja die slurf die octopus soort van even kijken 
B: 	ja 
A: 	nummer negen 
A: 	dit zijn die een met drie octopusding die eruit komen en die vierkant neus 
B: 	ja 
B: 	ja 
B: 	B 
B: 	dat zijn die een met die drie stulp en die slurf en die vierkant 
A: 	ja 
A: 	nummer vier 
