A: 	ja deze vinden ik een beetje zijn een beetje raar 
A: 	deze even nadenken horen 
A: 	hij hebben zo'n soort van Lvormig aanhangsel aan de onderkant 
A: 	en die hebben hij ook aan de rechterkant 
A: 	dus het lijken een beetje alsof die zo'n spagaat doen achtig of als hij zijn been optillen 
B: 	jij zien het echt veel menselijk dan ik 
A: 	ja 
B: 	dat zijn wel interessant 
A: 	ja en dan uitzitten er nog twee ruitachtig ding komen uit zijn hoofd of uit de bovenkant 
B: 	hebben die 
B: 	hebben die hebben die een stokneus 
A: 	ja 
B: 	oké 
B: 	dat zijn een beetje ook zoals een één van die die op een vogelhuis lijken een beetje 
A: 	wachten even hoor dan moeten ik even zoeken waar het 
B: 	zo'n zo'n stok wat voor een vogelhuis zitten daar lijken het op 
A: 	ja ja 
B: 	en dan daarachter ja het zijn een beetje wazig wat daarachter zitten 
A: 	ja 
B: 	ja 
A: 	volgens mij weer met die blokkig ding achtig 
B: 	ja 
A: 	oké 
B: 	oké dat zijn M 
B: 	dit zijn weer die wazig met de ruit aan de achterkant en dan die de de telescoop ernaast of de oud toestel 
A: 	ja 
A: 	ja 
A: 	soort van alsof die aan het schaatsen zijn 
B: 	je moeten wel een nummer zeggen 
A: 	ja negen 
A: 	oeh bijna 
A: 	dit zijn weer die die twee rui met die twee oud camera erin 
B: 	oké 
B: 	dat zijn H 
B: 	dit zijn weer de ruit met de twee ouderwets camera aan de zijkant 
A: 	ja dat zijn elf 
A: 	zeggen ik het goed ? ja elf 
A: 	dit zijn weer die met die drie of die rui met die twee oud camera erin 
B: 	ja dat zijn D 
A: 	die 
B: 	dit zijn weer de ruit met de oud camera aan de zijkant 
A: 	ja dat zijn veertien 
