B: 	oké 
B: 	ja nu hebben ik zeggen maar ik vinden dit een beetje op een gezicht lijken het zijn zeggen maar dat kop met zo'n soort hanenkam die rechthoekig zijn 
B: 	en dan hebben die zo'n soort neus erop 
B: 	en aan de ander kant zo'n trechter met een staaf erin 
B: 	raar 
B: 	ik denken niet dat dit ergens op lijken 
B: 	dus je hebben zeggen maar dat kop en daarbovenop zitten zo'n rechthoekig ja vierkant doorsnede staaf 
B: 	helemaal erop 
A: 	ja ja ja dus een balk dat dat op hem zitten zeggen maar 
B: 	ja een bal ja een balk liggen erop zeggen maar 
A: 	hij hebben een soort van ik vinden het zo'n zo'n zo'n grijpen dinge zo'n machine 
B: 	bij zo'n kermis ding 
A: 	dat zijn zijn arm zeggen maar 
A: 	zijn zijn zijn arm zijn zo'n Cup zeggen maar 
B: 	ja 
A: 	of zo'n zo'n zo'n hoekig cup waar waarmee je zeggen maar zand opgraafen en zo 
B: 	ja zo'n 
B: 	ja 
B: 	ja 
A: 	oké 
A: 	dat zijn op een gezicht lijken dat 
B: 	denken ik 
A: 	ja 
B: 	weten ik niet 
B: 	misschien 
A: 	oké nee nee goed dan weten ik dat 
B: 	maar ik denken dat het dezelfde zijn en dan hebben die nog zo'n trechteruitsteeksel 
B: 	of niet 
B: 	bij mij wel 
A: 	misschien zitten we dan toch niet niet gelijk 
B: 	nou misschien hebben je toch wel een 
B: 	oké 
B: 	dus hij hebben echt een een een balk op zijn kop 
A: 	ja 
A: 	een trechteruitsteeksel 
B: 	en dan hebben die zo'n ja zo'n Vvormig uitsteeksel met een soort staaf erin 
B: 	en aan de linkerkant hebben die hebben die zo'n ja een soort neus vinden ik 
A: 	oké nee we zitten verkeerd 
A: 	een Vvormig 
B: 	dus links hebben die een neus 
B: 	en rechts hebben die zo'n vvormig uitsteeksel met een klein staaf erin 
A: 	links hebben die een neus 
A: 	rechts hebben die een vvormig uitsteeksel 
B: 	ja 
A: 	nee 
A: 	er zitten nog een staaf in het uitsteeksel 
B: 	ja zo'n klein rond staaf wat wel gewoon verticaal omhoog opsteken 
B: 	dus er liggen een balk op 
A: 	wachten nee nee we zitten wel gewoon bij dezelfde 
B: 	oké 
A: 	ja maar die zijn die zijn die zijn rechts rechtsvoor zeg maar zijn dat Vhoekig 
B: 	ja zeggen maar naar voren toe ja 
A: 	ja nee nee ik vinden dat we bij dezelfde 
B: 	soort van 
B: 	liggen eraan hoe je kijken 
B: 	ja oké 
B: 	ik denken het ook want de rest lijken er niet echt op 
A: 	oké 
A: 	nee kloppen hij zijn wel uniek 
B: 	nee 
B: 	oké 
B: 	ja 
A: 	dat zijn die balk eigenlijk gewoon hè ? die balk zijn het enig 
B: 	ja die balk hebben volgens mij hebben de ander geen ja dit moeten hem wel zijn 
A: 	nee oké 
A: 	nummer achten dus 
B: 	oké 
A: 	ja ik hebben die die die balk op het hoofd 
B: 	ja 
B: 	met die met dat raar trechter zo aan de voorkant soort van 
A: 	ja ja 
B: 	ja oké dat zijn E 
B: 	oké dit zijn met die vierkant hanenkam zeggen maar 
A: 	ja 
B: 	met dat blok er dan die balk erop 
A: 	ja 
A: 	ja 
B: 	ja 
A: 	en en heel raar ja 
B: 	ja dat dat soort trechterstaafje ding 
A: 	vierkant hanenkam noemen we hem ja 
A: 	dat zijn nummer één 
A: 	met de met de balk als Hanenkamp 
B: 	ja 
B: 	ja 
B: 	hier 
B: 	dat zijn E 
B: 	dit zijn die met die ja vierkant balk hanenkam op zijn hoofd 
A: 	wat een beschrijving ja 
A: 	ja nummer zestien 
A: 	kloppen dan wel 
A: 	ik hebben de de de rechthoekig hanenkam 
B: 	ja 
B: 	even kijken waar die zijn 
B: 	dat zijn bij mij O 
