A: 	deze hebben ik volgens mij omschrijven als de gieter 
A: 	de koffiebeker met twee soort paal met rond uiteind aan de zijkant 
A: 	aan de linkerkant wat kort aan de rechterkant een stuk lang 
A: 	een beetje een ronde half bol erop 
A: 	en dan iets schuin aan de achterkant nog een vierkant dat schuin omhoogsteekken 
A: 	met daaruit ook nog een stuk 
B: 	kunnen je nog één keer het herhalen 
A: 	ja 
B: 	de gieter ja 
A: 	de gieter 
B: 	het zijn een 
A: 	ja 
A: 	als je het een gieter kunnen noemen vast niet 
A: 	in ieder geval de koffiebeker 
B: 	ja 
A: 	aan de linkerkant steken een soort iets dik cilinder die iets klein worden met een half bol op het einde 
A: 	aan de rechterkant hetzelfde alleen een stuk lang 
A: 	ook een bol op het einde 
B: 	de gieter 
B: 	ja 
A: 	ja 
B: 	dat de het de uitsteeksel lijken een beetje op een honkbalknuppel die erachter liggen 
B: 	als je een beetje fantasie gebruiken en er zitten inderdaad daarachter zo'n schuin oplopend plank met nog een stuk 
A: 	ja 
A: 	met nog iets erachteraan 
B: 	ja 
A: 	hangen 
B: 	een gieter lijken het wel op 
B: 	dat zijn letter K 
B: 	oké dit zijn de gieter als ik het goed hebben want ik zeggen een honkbalknuppel die daarachter liggen 
B: 	een schuin toelopen vierkantje wat aan de linkerkant uitsteken 
A: 	ja 
B: 	met een boog 
A: 	ja 
A: 	dat zijn nummer negen 
A: 	de gieter 
B: 	de gieter 
B: 	letter F ja ik vertrouwlen jou 
B: 	de gieter 
B: 	wel steeds de makkelijk plaat 
A: 	de gieter de gieter waar zijn je ? waar zijn je 
A: 	ja hebbes dat zijn nummer drie 
A: 	de gieter 
B: 	de gieter waar staan die ook alweer 
B: 	dat zijn letter L 
B: 	de gieter 
A: 	waar zijn je gieter 
A: 	ja nummer vijf 
