B: 	deze hebben een vierkant staaf bovenop liggen 
B: 	plat 
B: 	en aan de linkerkant steken een soort lampenkap uit 
A: 	ja 
B: 	en aan de rechterkant ja ook nog iets met een staaf en een soort driehoek of zo 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer acht bij mij 
A: 	ik hebben nu die een met de platgelegde rechthoek bovenop en links die soort van lampenkap 
A: 	en rechts ook wat je net niet zien en vooraan nog dat driehoekig uitsteeksel met een klein staaf erbovenop 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij E 
B: 	deze hebben een horizontaal vierkant aan de bovenkant 
B: 	of ja een rechthoek eigenlijk 
A: 	ja 
B: 	en dan de lampenkap en 
A: 	ja 
B: 	ja 
A: 	oké dat zijn nummer één 
A: 	dit zijn die een met die lampenkap aan de zijkant 
B: 	oké 
A: 	en die rechthoek plat bovenop 
B: 	ja 
B: 	dat zijn bij mij E 
B: 	dit zijn met dat plat rechthoek bovenop en die lampenkap 
A: 	ja 
A: 	dat zijn nummer zestien 
A: 	dit zijn die lampenkapp 
A: 	aan de zijkant 
B: 	ja even zoeken 
B: 	ja 
B: 	dat zijn bij mij O 
