B: 	dit zijn die een met heel veel ding hij staan op een op een oppervlakte en hij hebben twee van die uitsteeksel rechts en link 
A: 	ja 
A: 	bij mij zijn het nummer vijf 
A: 	ik hebben weer dat ding wat op een op een vierkant staan met die twee soort van spiraalt aan beide kant 
B: 	ja 
B: 	dat zijn J 
B: 	ik hebben die een die op zo'n vlak staan en twee van die spiraalding aan de zijkant hebben 
A: 	ja 
A: 	dat zijn bij mij nummer elf 
A: 	ik hebben die op dat vierkant met die twee spiraalt 
A: 	aan de beide zijkant 
B: 	ja dat zijn P 
B: 	dat zijn die een die op een ding staan en twee spiral aan de zijkant 
A: 	ja nummer negen 
A: 	ik hebben die een op dat plateau met die twee staaf met die spiraalt aan de zijkant 
B: 	die spiraalt 
B: 	dat zijn L 
