B: 	oké 
B: 	one even kijken deze hebben bovenop een een soort rechthoekig balk liggen 
B: 	bijna over de heel lengte en ja links hebben die een soort van ja waar kunnen je het mee vergelijken ? een soort muilkorf voor een hond eraan hangen 
A: 	ja precies en dan zo'n soort bezemp 
B: 	ja Bezempje onder zijn arm aan de ja 
A: 	aan de ander kant ja 
B: 	aan de ander kant ja 
A: 	dat zijn acht voor mij 
A: 	dit zijn die met ja de horizontaal balk bovenop en de de bezem 
B: 	ik weten welk je bedoelen ja 
B: 	dat zijn voor mij E 
B: 	dit zijn weer die met het bezemp en het balk bovenop 
A: 	die zijn voor mij yes dat zijn één voor mij 
A: 	ja dit zijn de de schoonmaakrobot met de bezem en de dat ding bovenop 
B: 	schoonmaakrobot 
B: 	ik vinden hem goed vinden dat zijn E voor mij 
B: 	even kijken one's het hoe zeggen je dat nou ? het schoonmaakrobo met Bezempje 
A: 	yes 
A: 	dat zijn zestien voor mij 
A: 	dit zijn de schoonmaakrobot 
B: 	die moeten ik weten dat zijn O 
