B: 	hier hebben je soort van een ja tafel rechthoek vierkant ding dwars onder de emmer 
B: 	het lijken een beetje alsof er tafelpot aan zitten 
B: 	en daarop staan een soort van trechterachtig hoekig trechterachtig dinge 
B: 	en daarachter komen een tui uit uit de emmer 
B: 	even kijken ja je hebben je emmer 
A: 	ja 
B: 	en daar zitten een soort vierkant doorheen 
B: 	en daar komen twee poot uit 
B: 	of twee 
A: 	uit de emmer 
B: 	ja uit het vierkant 
A: 	uit het vierkant 
B: 	dat door de emmer heen zijn de dat zijn ongeveer op drievierd hoogte gaan er een soort van een vierkant door de emmer heen 
A: 	zien 
A: 	verticaal daar ja ja 
A: 	twaalf 
A: 	deze die die tafel 
B: 	ja 
A: 	die met die 
B: 	f 
B: 	deze hebben het tafel wat door de emmer heen zijn met de twee poot 
B: 	en 
A: 	staan hij 
B: 	drievierd hoogte gaan hij dwars door de emmer heen 
A: 	ja die tafel 
A: 	okee 
B: 	ja 
A: 	veertien 
A: 	dit zijn die tafel 
B: 	ja dat zijn 
B: 	where did it go 
B: 	ja h 
B: 	de tafel 
A: 	veertien 
A: 	de tafel 
B: 	d 
