B: 	ja 
A: 	deze hebben aan de rechtkant een een cirkel die er zo recht op staat zo 
A: 	gewoon verticaal 
B: 	ja 
A: 	en aan de linkerkant zo'n staaf met nog zo'n 
B: 	soort van een soort 
A: 	een spijker erin ja een spijker 
B: 	zo'n zo'n zo'n zo'n zo'n beitel 
A: 	ja zo'n beitel ja dat bedoelen ik ja 
B: 	ja okee 
B: 	ja 
B: 	dat zijn p 
B: 	ja deze zijn die de de een soort van ja een een een liggen cirkel laten maar zeggen of platgedruken cirkel aan de zijkant steken die uit 
B: 	waarbij dus 
A: 	ah ja ik zien hem al ja 
B: 	ja 
B: 	hebben je hem al 
A: 	aan de rechterkant en dan links zijn weer die spijker 
B: 	aan de rechterkant 
B: 	ja die spijker ja 
A: 	okee 
B: 	ja 
A: 	dertien 
A: 	deze zijn met dat cirkelt rechts en dan links die staaf met die spijker erop 
B: 	okee dat zijn niet heel veel cirkel 
B: 	okee wachten even en de de 
A: 	aan de rechterkant zitten dat cirkel zo horizontaal 
B: 	ja 
B: 	ja ja ja 
A: 	en dan links met die spijker waar we het over hebben 
B: 	ah ja ja en de daar die staan die spijker staan op zo'n ding 
A: 	ja 
B: 	ja okee 
B: 	ja dat zijn j 
B: 	deze zijn met die spijker 
A: 	aan de linkerkant 
B: 	ja 
A: 	ja vijfteen 
A: 	dit zijn met dat cirkelt rechtsvoor en dan links met dat met die spijker erop 
B: 	okee dat dat cirkelt zitten aan de voorkant aan de 
A: 	aan de rechterkant 
B: 	ja ja precies en dan hebben je dat rechthoek en dat dat kegel 
A: 	ja 
A: 	ja 
B: 	okee dat zijn a 
B: 	spijker 
A: 	drie 
