B: 	ok even kijken 
B: 	ik hebben deze omschrijven als een soort raket omdat hij een soort raar ding aan de zijkant hebben en er zitten een soort vierkant balk bovenop 
A: 	o ik weten wel die vierkant balk bovenop zijn dat met dat heel dun cilindertje daar aan de rechterkant 
B: 	aan de rechterkant zitten een soort uitsteeksel en daar staan inderdaad een heel klein pilaar op 
A: 	heel ja jajaja 
A: 	ja die ja die hebben ik al ja dan weten ik al welk je bedoelen 
B: 	hoe hoe hoe beschrijven jij die 
A: 	ja het zijn gewoon die mok daar zitten een balk gewoon op liggen en aan de linksonder zitten een beetje een rondachtig 
B: 	ja 
A: 	ja nee dan ja dan zijn het gewoon dezelfde 
B: 	ok 
A: 	acht 
A: 	ok met die balk bovenop waar die liggen 
A: 	en hoe ik zeggen vorig keer van die van dat dun spiraal aan de of van die niet spiraal maar 
B: 	ja waar een soort soort vleugel ja uitsteekt met een heel dun dinge inderdaad E 
A: 	ja met dat superdun ding erop 
A: 	ja die die ja 
B: 	die ik als raket omschrijf maar die jij met het klein dun balk met het heel dun balk en het vierkant blok bovenop 
A: 	o jajaja 
A: 	ja ja ja 
A: 	ah even kijken één 
A: 	die raket met het paaltje beetje dat dun ding 
B: 	hm ? o met dat dun 
A: 	snapen je 
A: 	met dat dun ding wat jij raket noemen 
B: 	ja met het blok op zijn hoofd E 
A: 	ja en blok op zijn hoofd 
B: 	even kijken die ik het de raket noemen blok op zijn hoofd 
A: 	ja balk op zijn hoofd 
A: 	zestien 
A: 	met die smal buis balk op zijn dat bovenop weten je wel 
B: 	okan ja die raket ah O O 
