B: 	deze zijn het lijken een beetje op een op een beeld 
A: 	ja 
B: 	zo'n zo'n kromming ook weten je wel 
B: 	bovenop staan staan een blok dat bijna vallen 
A: 	ja 
A: 	ah ja 
B: 	en 
A: 	het staan zeggen maar op een standaard die op zo'n driehoek staan 
B: 	ja 
B: 	ja 
B: 	ja 
A: 	ja dan zijn het zeven 
B: 	ja 
A: 	deze dat zijn die op dat standaard zeggen maar dat beeld die staan op die driehoek met die stang eraan daar staan hij op 
A: 	en dan zitten rechts zitten dat dat blok wat er zeggen maar bijna af vallen 
B: 	okee ja ik hebben hem al 
A: 	en dan binnen 
B: 	ja 
A: 	ja 
B: 	dat zijn d 
B: 	deze zijn met dat vallen blok 
B: 	en dat ding dat dat ergens op op staat met een met een ja 
A: 	maar die op dat standaard staan 
B: 	op dat standaard staan ja 
A: 	ja dat zijn drie 
A: 	dit zijn weer geen die een die op het standaard staan waarbij dat blok er bijna af vallen 
B: 	ja ja ja dat zijn k 
B: 	dit zijn dat ding op op een standaard 
B: 	en waaruit het blok er bijna af vallen 
A: 	ja veertien 
A: 	dit zijn die een op dat standaard waar dat blok bijna af vallen 
B: 	ja wachten even 
B: 	ik zoeken 
B: 	ah ja ja 
B: 	l 
