A: 	nou hebben jij het rond 
B: 	oké 
B: 	even kijken 
B: 	dit zijn zeggen maar aan de zijkant zitten een een steel die zo omhooggaan zeggen maar 
A: 	in zo'n hand of zo 
B: 	ja ja zo als alsof je je arm zo hebben 
A: 	ja oké 
A: 	ja 
A: 	oké dat hebben ik 
A: 	en zo'n zo'n zo'n Neusachtig 
B: 	ja ja ja 
A: 	oké 
A: 	dan zeggen ik zes 
A: 	de ja de zwaaiend robot zeggen maar 
A: 	met met dat met dat hoekig hand 
B: 	ja die ja ja 
A: 	en zo'n slurf 
B: 	C 
B: 	nu hebben ik die weer met met dat hand zo 
A: 	ja 
B: 	en met link bovenop of met met bovenop zo'n twee streep 
A: 	ja en dan de slurp 
B: 	ja 
A: 	dertien 
A: 	die die hand zeggen maar 
A: 	en dan twee 
B: 	ja 
B: 	J 
B: 	die met die arm zo en die slurf 
A: 	ja 
A: 	negen 
A: 	die zwaaiend robot 
A: 	met een slurf 
