B: 	aan de bovenkant zitten twee heel klein staafjes 
B: 	lijken een beetje op de twin towers 
B: 	die nog niet omgevallen zijn 
A: 	yes 
B: 	en aan de in het doormidden zitten een soort van platformp 
A: 	ja ik weten het 
A: 	een 
A: 	ik hebben soort ja plaat die door het het oppervlak heen gaan 
B: 	ja 
A: 	aan de bovenkant die twee twin towers waar je het net over hebben 
B: 	ja ja ik ja 
A: 	die kleint 
B: 	waar zitten die ja daar 
B: 	a 
B: 	die schijf die door het midden gaan en dan zo'n twee van die klein dinge bovenop 
A: 	ja 
A: 	vier 
A: 	ik hebben de twin towers met dat plaat er recht doorheen 
B: 	waar zitten die 
B: 	nee ? ja 
B: 	met dat staaf dat naar je toekomen toch 
A: 	soort 
B: 	dat 
A: 	nee dat ja die ja een soort glijbaan zijn het 
B: 	ja glijbaan ja 
B: 	k 
B: 	ik hebben de de mini Twin towers bovenop en dan die plaat die erdoorheen gaan 
B: 	en de glijbaan 
A: 	ja twee 
A: 	de twin towers met een glijbaan 
B: 	ja 
B: 	k 
