B: 	ja het plaat zijn die op een man lijken met 
B: 	soort van kronkelstaaf aan de onderkant die eindigen op een piramide niet piramide maar een driehoekig 3Ddinge 
B: 	en aan de bovenkant een kubus en daar rechts van ook weer een kubus en daar helemaal links ja het zijn niet echt een kubus maar 
A: 	een soort driehoek of zo 
B: 	ja zoiets 
A: 	ja 
A: 	maar in ieder geval die kronkel en dan op die driehoek 
B: 	ja 
A: 	ja dat zijn vier 
A: 	ja dit zijn die op dat driehoekig platformp met die kringel omhoog 
A: 	en dan die twee kubus bovenop en aan de linkerkant dat driehoek 
B: 	ja die 
B: 	ja 
A: 	ja 
B: 	dat zijn bij mij A 
B: 	dit zijn die op een man lijken met die kronkelbuis naar een driehoek 
B: 	en twee kubus bovenop en een ander dinge 
A: 	ja dat zijn tien 
A: 	ja dit zijn dat man met die die draai richting dat driehoek aan de onderkant 
B: 	ja 
B: 	ja dat zijn L 
B: 	dit zijn dat man met die spiraal aan de onderkant 
B: 	en driehoek 
B: 	en kubus 
A: 	ja 
A: 	ja 
A: 	dat zijn vier 
A: 	dit zijn ja het man met de spiraal en de driehoek aan de onderkant 
B: 	oké dat zijn F 
