A: 	ja deze vinden ik een beetje lijken hij hebben een uitsteeksel en daar zitten een spijker in 
A: 	best wel groot spijker 
B: 	welk kant op een uitstekel 
A: 	aan de linkerkant 
B: 	o ja en aan de rechterkant een beetje zo'n rond plateau rad ja ok ja dat zijn bij mij L 
A: 	ja 
A: 	ja 
A: 	bij mij negen 
B: 	oken ik moeten klikken 
B: 	dit zijn dat die een met die spijker en dat rond plateau 
A: 	o ja zijn zeven bij mij 
B: 	ok bij mij M 
A: 	dit zijn die spijker 
B: 	o ja dat zijn C 
A: 	vijftien 
B: 	dit zijn de spijker 
A: 	ja bij mij zijn dat één 
B: 	ok bij mij O 
A: 	dit zijn de spijker 
B: 	o hier A 
B: 	o 
B: 	dit zijn de spijker 
A: 	zijn dertien 
B: 	ok 
