B: 	nee 
A: 	oké deze hebben aan de linkerkant 
A: 	ja misschien je zullen het kunnen zien als een soort van bank of zo die net een beetje naar voren kantelen zijn 
B: 	ja 
A: 	met een ja een soort van een groot nagel zeggen maar een spijker die ertegenaan zitten 
B: 	oké 
A: 	en aan de linkerkant hebben je een soort van ja een cirkel die die die ja 
B: 	ja 
A: 	ja 
B: 	ik zien het het zijn L 
B: 	nou het zijn weer het beker met die omgekeerde bank en die nagel erin 
A: 	welk zijn dat ook alweer ? even kijken waar die staan 
A: 	ja ja 
A: 	ja oké 
A: 	dus dat zijn zeven voor mij 
B: 	oké 
A: 	ja oké deze hebben die die kantelen bank met de met de spijker ertegenaan 
B: 	C 
A: 	en de en die cirkel aan de rechterkant 
A: 	yes 
B: 	C 
B: 	het zijn de de de de spijkerbank weer 
A: 	ja 
A: 	oké dat zijn één 
A: 	even kijken dit zijn weer die omgu die die kantelen bank met de spijker erop 
B: 	ja 
A: 	en de cirkel 
B: 	zijn A 
B: 	het zijn de bank met de met de spijker 
A: 	ja dat zijn dertien 
