B: 	het zijn die een die op een voet lijken te staan zeggen maar met die twirl en dan op een driehoek 
A: 	zo'n die 
A: 	op een driehoek ja 
A: 	dat zijn nummer vier 
A: 	dit zijn degeen met de twist 
A: 	daar beneden op de driehoek 
B: 	waar zijn het kreng ? ja vinden A 
B: 	dit zijn op dat op dat voetstuk met die twirl 
A: 	ja ja inderdaad zijn tien 
A: 	dit zijn met de twist op de driehoek 
B: 	L 
B: 	het zijn die op de driehoekig voetstuk met die twirl 
A: 	ja ja vier 
A: 	het zijn de twirl met een driehoek 
B: 	ja F 
