A: 	ik hebben nu de mok met een soort van steun aan de achterkant die lijken op een paaltje te staan en het zijn een soort van vier of rechthoek 
B: 	ja 
B: 	ja 
A: 	en er zitten twee one's hoe zeggen je dat handvaat waarvan de linkerkant iets kort zijn en de rechterkant lang 
B: 	ja 
B: 	dat zijn bij mij nummer K 
A: 	oké 
B: 	ik hebben in principe weer het basismodel waarbij dan 
B: 	schuin een vierkant achter staan waar dat op een soort voet steunen met een kort uitsteeksel aan de linkerkant die rond afronden zijn en dan een lang 
A: 	ja 
A: 	dat zijn nummer negen hier 
A: 	dit zijn de mok waarbij aan de achterkant een soort van steunpilaart staan 
A: 	op een paaltje met een vierkant blok daaraan vast 
B: 	ja 
A: 	en link zitten een handvat wat hetzelfde zijn als rechts alleen rechts lang 
B: 	ja 
B: 	dat zijn bij mij F 
A: 	oké 
B: 	ik hebben degeen met het vierkant vlak schuin erachter 
B: 	met een ondersteunen ja vorm erachter en dan hebben je aan de linkerkant dat rond aflopen 
B: 	puntig geval en aan de rechterkant dat lang puntig geval om armp 
A: 	ja 
A: 	nummer drie zijn dat hier 
A: 	ja gelijk 
A: 	dit zijn de mok met dat rugsteuntje achterin 
A: 	die op een paaltje staan met een vierkant daarachter 
A: 	met handvaat er die rechter lang zijn dan links 
B: 	ja 
B: 	ja dat zijn bij mij L 
A: 	oké 
B: 	ik hebben degeen met het vierkant vlak wat ondersteunen worden door een voet met de zijn 
B: 	lang en dan de linker iets kort allebei rond afgevormen 
A: 	ja 
A: 	even kijken 
A: 	nummer vijf 
