A: 	dit zijn weer de bak en hij leunen nu op een op een op een pilaar hij hij leunen naar achter toe 
A: 	en er zitten een buis doorboren 
A: 	aan de linkerkant zitten , als je als je de bak hebben , zitten aan de linkerkant daarvan zitten de leuning eigenlijk waar hij tegenaan leunen 
A: 	er zitten één dinge aan de rechterkant en de meerderheid zitten aan de linkerkant van het voorwerp , van de bak 
B: 	waar die tegenaan leunen zijn link 
A: 	ja 
A: 	hij leunen naar links en het zijn 
B: 	wat zijn leunen 
B: 	want 
A: 	het zijn eigenlijk een bak , zo'n bak , en dan ja ik weten niet dit mogen ook toch , zijn communiceren 
B: 	ja 
A: 	dit zijn de leuning , zo'n plaat ertegen , en dan staan de bak leunlen daar tegenaan 
A: 	of staan ertegenaan 
B: 	dus hij staan scheef 
A: 	de bak staan recht , maar de het het pilaar staan 
B: 	ik moeten het wel goed hebben hoor 
A: 	ja 
A: 	maar 
B: 	nou ik weten ik niet of ik het goed hebben 
B: 	zijn wat hij leunen zijn dat plat of zijn dat 
A: 	wat zien 
A: 	ja zijn een zijn een vierkant 
B: 	gewoon een vierkant 
A: 	zijn een vierkant en de bak 
B: 	met twee uitstulping , toren zoals jij dat zullen noemen , aan de linkerkant 
A: 	ja 
A: 	ja 
B: 	en antenne op de bovenkant 
B: 	of niet 
A: 	nee volgens mij zijn dat een ander dit zijn een dit zijn de bak 
B: 	ja 
A: 	dan hebben je aan de linkerkant een soort van half dinge 
A: 	met een recht plaat 
A: 	en er zitten onder de onder eigenlijk de plaat zitten een een een paal 
A: 	die erdoorheen gaan en die naar rechts uitwijken 
A: 	die naar rechts erdoorheen gaan 
A: 	ik zullen even kijken misschien zien je iets ander en zijn ik dat nu ook aan het beschrijven 
B: 	ja of sommig hebben we al hebben ook hè , misschien dat ik dan de verkeerd hebben noemen eerder 
A: 	ja 
A: 	ja als jij 
B: 	aan de linkerkant horen een pilaar te zitten zeggen je , maar die moeten ook aan de rechts rechterkant weer uitsteken 
A: 	ja 
A: 	ja het zijn de bak 
B: 	ja 
A: 	anders laten we die pilaar even weg , het zijn de bak en dan zitten er een aan de linkerkant een schuin paal en dan een recht vierkant 
B: 	en daar zijn dan nog die bak 
A: 	daar ja 
B: 	oké nou zullen wel duidelijk moeten zijn toch 
B: 	dat denken ik dan dat het zijn er ook twee uitstulping aan de beide kant 
A: 	ja 
B: 	oké 
B: 	dan zijn het P 
B: 	dit zijn een kop met aan beide kant een uitstulping met een rond aan het eind van zijn uitstulping 
B: 	en hij leunen op een plaat met een stok 
A: 	ja dat zijn diegene waar we net heel veel moeite mee hebben 
B: 	ja dat zijn die ja 
A: 	nummer vijfteen 
A: 	zijn dat 
A: 	waar we nog heel veel moeite mee hebben , met uh , de bakje dat leunen 
A: 	die doorboren worden door de pilaar 
B: 	ja 
B: 	ja 
A: 	met het vierkant aan de linkerkant 
B: 	die leunen , die leunen , die leunen 
B: 	met het ei op de bovenkant 
A: 	nee geen ei nee 
B: 	ha 
B: 	dat zijn nog niet makkelijk op worden 
B: 	ja 
B: 	met die twee 
A: 	ja 
B: 	vleugel 
B: 	F 
B: 	oké 
B: 	bak met aan beide kant dus die een met aan beide kant zo'n pilaar die uitsteken 
B: 	en hier hebben we heel lang moeilijk over doen ook 
B: 	en die leunen 
A: 	ja nummer acht 
A: 	zijn weer die een waar we ontzettend moeilijk over meedoen 
A: 	misschien maken het dat makkelijk die leunen 
B: 	welk wat 
A: 	die moeilijk zijn 
B: 	ja ja ja ja ja 
A: 	die leunen naar de linkerkant 
B: 	ja 
A: 	of op de linkerkant 
B: 	met die twee dinget zo 
A: 	ja 
B: 	M 
B: 	het moeilijk kop met het beide paal zo aan de beide zij 
A: 	nummer vijf 
