A: 	oké deze hebben een soort van twee armp als een soort vliegtuigvleugel 
A: 	en nog een ding aan de achterkant 
A: 	en ja ik hebben die dat ding een beetje een rugzak noemen 
B: 	ja ja 
B: 	ja ik hebben echt geen idee wat ik daaraan moeten one's koppelen echt geen idee ik hebben zoiets van het lijken een beetje op een wattenstaafje denken ik zo maar goed in ieder geval 
A: 	nee 
A: 	ja wattenstaafje zijn nog ik ja ik zien er een beetje vliegtuigvleugel in maar dan dan hebben jij hem wel geloven ik toch ? welk het zijn 
B: 	ja ik dat dat denken ik wel dat zijn K 
A: 	nee dan zijn het net anders 
A: 	welk zijn het 
B: 	het zijn poeh de parasol volgens mij 
B: 	wat ik noemen wattenstaafje 
B: 	met die soort van arm met die bollet aan de buitenkant 
A: 	wachten even 
A: 	ja 
A: 	ja ja precies die ik de vliegtuig vleugel hebben noemen 
B: 	vliegtuigvleugel dat bedoelen ik ja 
A: 	yes 
A: 	dat zijn negen 
A: 	dit zijn de vliegtuigvleugel 
B: 	ja 
A: 	met het rugzak 
B: 	ja ja ja F 
B: 	dit zijn de vliegtuigvleugel zeggen jij als het goed zijn met die tas op de rug 
A: 	ja 
A: 	ja precies dat zijn drie 
A: 	dit zijn de vliegtuigvleugel en het rugzak 
B: 	ja even zoeken 
B: 	ja L 
B: 	dit zijn de vliegtuigarmen 
B: 	weten niet veel wat je zeggen tasje op de rug 
A: 	ja 
A: 	even kijken waar je zijn 
A: 	ja dat zijn vijf 
