B: 	dit zijn een mok met een soort van weegschaal slash wipwap ervoor 
B: 	er zitten zo'n ja trapezium zitten ervoor 
B: 	en het zijn echt een soort van bank met twee poot 
B: 	en er opsteken aan de achterkant nog zo'n klein dinge uit 
A: 	ja en op dat ja ik vinden het een tafel die wat zo optild 
B: 	tafel ja kunnen ook 
A: 	daar staan een soort van bakje op zeggen maar 
B: 	ja 
B: 	ja 
A: 	oké ja dat zijn nummer zestien 
B: 	een saladeschaal 
B: 	picknickbank 
A: 	ja 
A: 	ja 
B: 	ja 
A: 	dit zijn dat met dat tafel waar dat saladebakje op staat 
B: 	ja 
B: 	dat zijn bij mij P 
B: 	dit zijn die met dat tafel 
A: 	ja dat zijn met dat saladebakje 
B: 	ja ja 
A: 	even kijken waar die staan 
B: 	als het goed zijn tenminste als het dezelfde plek zijn staan die helemaal onderin 
A: 	ja 
B: 	bij de middellijn 
A: 	en een beetje in het midden ja 
A: 	dat zijn nummer veertien 
A: 	dit zijn het tafel met het saladebakje 
B: 	dat zijn bij mij N 
B: 	dit zijn die ik hebben weer een heel ik hebben nu een heel ander opstelling 
B: 	ik hebben nu de de tafel met het saladebakje 
A: 	ja ik ook 
A: 	ja 
B: 	en die ja die hebben ik dus 
A: 	ja 
A: 	oké 
A: 	dat zijn nummer tien 
A: 	dit zijn het of het tafel met saladebakje 
B: 	ja 
B: 	dat zijn bij mij d 
A: 	en hij staan bij mij in het vak rechtsboven 
