A: 	oeh het lijken alsof er een soort zo'n ijzeren pen 
A: 	door de kop heen zitten want het zijn het zijn zeggen maar een soort van twee rondeachtig balk en daar zitten dan een soort van een kop aan 
A: 	ik weten niet of je nu snpen wat ik bedoelen 
B: 	nog 
A: 	en en aan de achterkant komen lijken er nog een vierkant uit te uitkomen maar die zijn een beetje half verbergen en daar komen ook weer een balk naar beneden uit 
B: 	ja ja dan weten ik welk je bedoelen ja 
B: 	dat zijn K 
B: 	dit zijn diegene met die balk er helemaal doorheen 
B: 	en waarbij een vierkantje nog zo schuin achter eruit opsteken en ook nog een soort 
B: 	slange of buisje uit dat vierkantje komen 
A: 	omlaag 
A: 	ja ja ja ja 
A: 	negen 
A: 	dit zijn dat kop weer met die pin erdoorheen en dan zo'n vierkant aan de achterkant met een slange eraan 
B: 	ja 
B: 	dat zijn F 
B: 	dit zijn die waar zo'n balk helemaal doorheen zitten en een vierkant uit opsteken met weer zo'n 
A: 	ding eraan 
B: 	ja en 
A: 	ja 
A: 	twee van die bollet aan de 
B: 	ja 
A: 	ja oké 
B: 	ik denken hierbij een beetje aan een zwaard om het de volgen keer makkelijk te maken 
A: 	ja 
A: 	slim 
A: 	drie 
A: 	dit zijn het zwaard 
B: 	ja dat zijn L 
B: 	dit zijn het zwaard 
A: 	die staan dat zijn vijf 
