A: 	oké ik vinden deze ja het hebben het zijn een soort van isteken aan de rechterkant 
B: 	een isteken aan de rechterkant 
A: 	van zijn gelijk aan 
B: 	dat lijken heel erg op de kip 
A: 	ja 
B: 	maar 
A: 	even kijken 
A: 	met een soort van ja een trapezium laten maar zeggen bovenop 
A: 	een soort van vierkant waarvan de onderkant 
B: 	shoot dan hebben we net de verkeerd doen denken ik 
A: 	dan denken ik ook 
B: 	want dat zijn wat ik de kip noemen 
A: 	ja nee die vinden ik daar inderdaad ook op lijken maar ik neeen ik 
B: 	nou dan zijn het nu ja dan hebben die ja links een staart en links nog een recht dinget 
A: 	even kijken 
A: 	ja ja ja kloppen 
B: 	ja oké nee dat zijn I dan deze keer 
A: 	oké 
B: 	nou hebben ik wel de kip met het isteken aan de rechterkant 
A: 	ja 
A: 	zijn bij mij nummer twee trouwens 
A: 	ik hebben de kip 
B: 	dat zijn M 
B: 	ik hebben de kip 
A: 	ja 
A: 	nummer negen 
A: 	ik hebben de kip weer 
B: 	ja dat zijn F 
B: 	ik hebben de kip 
A: 	nummer zes 
