B: 	oké 
A: 	ja deze vinden ik heel irritanen 
B: 	ja sommig zijn echt stom 
A: 	deze hebben twee oeh oké 
A: 	hij hebben hij hebben een het zijn het het kop 
B: 	ja 
A: 	en dan zitten er een bal zitten erop dus er zitten een balle op 
B: 	ja 
A: 	en dan zitten er een een staaf staan ervoor 
B: 	ja 
A: 	en hij hebben twee van die dun lang arm die die krom zijn 
B: 	twee van die 
B: 	ja ja oké ja 
B: 	dat zijn bij mij d 
A: 	oké 
B: 	oké 
A: 	ze zijn helemaal verschuiven 
B: 	deze zijn allemaal verplaatsen en volgens mij beginnen we weer opnieuw dus dat zijn een beetje 
A: 	ja 
B: 	dit zijn met dat balle erbovenop 
B: 	en die twee gek grijparmp 
A: 	ja 
B: 	en dan die staaf ervoor 
A: 	ja super nummer vijftien 
A: 	ja ik hebben de de de dun armha 
B: 	ja met het bolle erop 
A: 	ja met het balle erop 
B: 	oké dat zijn L 
B: 	oké nu hebben ik die met die armp en dat balle erop 
A: 	wachten even hem zoeken hoor 
A: 	ik kunnen hem gewoon niet vinden 
A: 	even kijken 
A: 	wow 
A: 	daar zijn die 
A: 	ja oké nummer zes 
A: 	de dun kromm arm 
B: 	ja 
B: 	dat zijn J 
B: 	ik hebben die met die armpjes 
B: 	die staan bij mij aan de rechterkant 
A: 	met de bal erop 
A: 	ja 
A: 	nummer drie 
