A: 	oké het zijn een ja kop en daarvoor zitten zo'n zo'n verticaal vierkant staaf en dan bovenop een balle 
A: 	en dan links en rechts beide een een een ronde staaf met een knik erin 
B: 	ja 
B: 	dat zijn D 
B: 	deze hebben een bolletje aan de bovenkant liggen 
B: 	en dan zo'n vierkant staaf aan de voorkant 
B: 	en dan die hebben we al hebben trouwens en aan de linkerkant zo'n rond buisje aan de rechterkant ook maar dan afgekapt 
A: 	ja 
A: 	ja 
A: 	ja met die verticaal buis 
B: 	buis 
B: 	ja 
B: 	staaf 
A: 	ja 
B: 	ja 
A: 	dat zijn vijftien 
A: 	dit zijn die met die verticaal balk voorop 
A: 	bovenin dat balle 
A: 	en aan beide zijkant zo'n buigen ronde staaf 
B: 	ja 
B: 	dat zijn L 
B: 	dit zijn die met het bolle bovenop 
B: 	en dan vierkant staaf ervoor en dan die staaf links en rechts horizontaal 
A: 	ja die verticaal balk 
B: 	ja 
A: 	dat zijn zes 
A: 	dit zijn die met de verticaal staaf aan de voorkant en het bolle 
A: 	en die twee haak aan de zijkant 
B: 	ja 
B: 	dat zijn J 
B: 	dit zijn die met bolle aan de bovenkant en dan vierkant staaf aan de voorkant en die twee dun dinge aan de zijkant 
A: 	ja 
A: 	ja die verticaal staaf 
B: 	ja 
A: 	dat zijn drie 
