B: 	ja deze hebben drie bollet telkens als arm 
A: 	drie bollet 
B: 	en staan op een groot vierkant 
A: 	ja 
A: 	hebben het lijken net als alsof dat zijn haar zijn 
B: 	ja 
A: 	en een plat neus 
B: 	ja 
B: 	ja 
B: 	verstrooien professor 
A: 	ja dat zijn nummer dat zijn nummer zes 
A: 	deze hebben hoe heten dat dat pippi Langkous-staart 
B: 	ja de drie drie dinget zeggen maar 
A: 	ja 
A: 	en dan zo'n plat neus en hij staan op iets plat 
B: 	ja 
B: 	ja dit zijn k 
B: 	dit zijn die met de haar 
B: 	de pippi langkous 
A: 	nummer dertien 
A: 	dit zijn pippi langkous 
B: 	nummer letter j 
B: 	dit zijn pippi langkous 
A: 	dat zijn nummer een 
A: 	dit zijn pippi langkous 
B: 	g 
