A: 	deze kop 
A: 	even kijken hoor hij hebben de bovenkant zitten zijn er een driehoek maar die zijn afgevlakken 
B: 	ja 
A: 	ja 
B: 	er zitten een soort hendel aan 
A: 	er zitten een soort hendel aan en twee plat rechthoeak 
B: 	ja en daar onderin een soort schoen of zo 
A: 	ja 
B: 	dat zijn nummer dat zijn dan de hoofdletter I ja 
B: 	nummer I 
B: 	ik vinden het zelf lijken alsof er een soort hendel aan zitten 
A: 	ja 
B: 	en dan hebben je weer die twee rechthoeak die er ook uit komen 
B: 	en een afgevlakken driehoek bovenop 
A: 	even kijken hoor 
A: 	afgevlakken driehoek die erbovenop zitten 
A: 	daar hebben we er volgens mij ook maar één van toch 
B: 	ja 
B: 	en er zitten een soort hendel aan naar mijn idee 
A: 	ja en er zitten ook iets onder toch een soort van uitlaat 
B: 	ja een soort bak liggen ernaast of zo 
A: 	een bak liggen ernaast 
B: 	ja 
B: 	afgevlakken driehoek bovenop 
A: 	ja 
B: 	zitten een hendel aan die beginnen in het voorwerp en eindigen erbuit 
A: 	ja en er zitten ook nog twee vlak ernaast toch 
B: 	ja 
A: 	aan de linkerkant 
A: 	nee aan de rechterkant 
B: 	ja 
A: 	zitten twee balk 
B: 	ja 
B: 	dat zijn hem 
A: 	ja 
A: 	oké dat zijn twee 
B: 	ja 
A: 	en ik hebben beker afgevlakken vier driehoek 
A: 	met het hendel waar je zo van houden 
A: 	en klein gas uitlaat aan de 
B: 	ja 
B: 	ja 
B: 	ja dat zijn M 
A: 	ja we zijn helemaal druk bezig met een nieuw manier uitvinden ja 
B: 	ja 
A: 	oké 
B: 	met het hendel 
A: 	met het hendeltje even kijken waar zijn die 
A: 	ah 
A: 	dat zijn negen 
B: 	ja 
B: 	hoeveel moeten we er maken joh 
A: 	ja 
A: 	ja ik weten niet 
A: 	ze zeggen dat het een uur kunnen duren ik hebben geen idee dus de tijd hier gaan niet veel 
B: 	ja ja ja 
A: 	one er zitten een hendel 
A: 	afgevlakken driehoek 
B: 	ja even zoeken 
B: 	dat zijn F 
B: 	oké dat zijn niet goed 
B: 	die met het hendel 
A: 	ah hendel 
A: 	waar zijn die ? ja 
A: 	dat zijn zes 
