B: 	oké 
B: 	ik hebben het laat zin nog niet lezen 
B: 	toen gaan die al ver dus we mogen dus praten 
B: 	nee 
B: 	nee ver zijn het duidelijk 
B: 	oké ik hebben dus het rood vierkantje of the 
A: 	dat zijn mooi want ik niet 
B: 	ja 
B: 	dus ik moeten dan dus nu aan je uitleggen waar wat het figuur zijn en jij gaan raden 
B: 	even kijken het hebben een een rond aan de achterkant je hebben natuurlijk het lijken allemaal op kop en het hebben een rond aan de achterkant en een 
B: 	steel aan de rechterkant die de ver boven uitsteekt 
A: 	even kijken een rond aan de achterkant 
A: 	en dan aan de linkerkant een soort handvat 
B: 	ja ja om het helemaal af te losmaken aan de linkerkant een soort handvat en aan de onderkant een soort van voe waar die op staat 
A: 	ja precies oké 
B: 	ja 
A: 	dertien 
A: 	deze hebben een rond aan de achterkant 
A: 	een soort lepel erin en dan links een handvat 
A: 	en onder ja een soort plateau om waar die op kunnen staan 
B: 	ja 
B: 	dat zijn dus O voor mij 
B: 	even kijken dit zijn wederom het figuurt met het rond 
B: 	aan de achterkant en het lepel dat aan de bovenkant uitsteken met het voe eronder 
A: 	ja check 
A: 	dit zijn acht voor mij 
A: 	dit zijn die met de cirkel aan de achterkant en dat ja plateau aan de onderkant waar die op kunnen staan 
B: 	soort voe 
A: 	ja 
B: 	dat zijn C voor mij 
B: 	dit zijn weer met dat rond plaat aan de achterkant en het voet met het lepel dat aan de bovenkant uitsteken 
A: 	ik moeten hem even zoeken yes dat zijn zeven voor mij 
A: 	dit zijn die met het rond aan de achterkant en het plateau om op te bijstaan aan de onderkant 
B: 	dat zijn C 
B: 	ah kijken 
