B: 	alright deze die zijn een beetje deze hebben best wel veel verschillend object 
B: 	je uitzien misschien op je scherm ook wel dat er een kop kop koffiekopje zijn die op een soort van onderzetter staan 
B: 	bij deze lijken het alsof die door de onderzetter heen zijn zakken 
B: 	en nou ja je hebben aan de aan de linkerkant zeggen maar een soort van haak 
A: 	ah ja 
B: 	bovenop lijken het soort van twee klein schoorsteen of hoe je het ook willen noemen en echt een beetje een slurfneus 
A: 	ah 
A: 	ja ik weten precies welk je bedoelen 
B: 	ik denken toch een beetje in gezicht dus 
A: 	ja nou 
B: 	ja 
A: 	ik gaan voor een 
A: 	okee nou er zitten ja weer één in het plateau 
B: 	ja 
A: 	nou zijn het kop er een beetje doorheen zakken 
A: 	die gek slurf aan de voorkant 
A: 	twee spriet bovenop 
A: 	die kleint 
A: 	en een haak aan de linkerkant die naar boven uitsteekt 
B: 	ja 
B: 	dat zijn g 
B: 	deze zijn door het onderzettertje heen zakken hebben een slurfneus en een haak aan de linkerkant 
A: 	ja okee 
A: 	dat zijn nummer zestien 
B: 	ja 
A: 	nu die een gek die door het plateau zijn zakken met zijn slurf en twee antennet en een haak aan de linkerkant 
B: 	ja nou moeten ik ook zoeken waar zijn die door het door het plateau heen zijn 
A: 	je weten welk ik bedoelen 
B: 	ja precies 
B: 	p 
B: 	deze hebben een slurfneus zijn door zijn onderzetter heen zakken 
A: 	ah 
B: 	en hij hebben een haak 
A: 	nummer twaalf 
A: 	door het plateau heen zakken gek slurf aan de voorkant twee uitsteekselt bovenop 
B: 	dat zijn l 
